tripletid,file_X,onset_X,offset_X,presentation_order,Practice,Target phone,Other phone,phoneitem_id_X,phone1_X,phone2_X,phone3_X,talker_X,sex_X,dialect_X,Block,dialect_OTH,dialect_TGT,distance_OTH_both_norm,distance_TGT_both_norm,file_OTH,file_TGT,offset_OTH,offset_TGT,onset_OTH,onset_TGT,phone1_OTH,phone1_TGT,phone3_OTH,phone3_TGT,phoneitem_id_OTH,phoneitem_id_TGT,sex_OTH,sex_TGT,talker_OTH,talker_TGT
t00000075016,TEST/DR5/MDRB0/SI2109,1.6371,1.9375,AB,FALSE,ae,uh,i24593,hv,ae,dcl,MDRB0,M,DR5,B3,DR5,DR5,9.72577232,9.293098691,TRAIN/DR5/MWSH0/SI2266,TRAIN/DR5/MWSH0/SI2266,0.9243,1.36,0.7232,0.9243,hv,hv,dcl,dcl,i126664,i126667,M,M,MWSH0,MWSH0
t00000074991,TEST/DR2/MDBB0/SA1,0.42,0.6866,BA,FALSE,ae,uh,i22448,hv,ae,dcl,MDBB0,M,DR2,B1,DR5,DR5,11.11128044,8.250266048,TRAIN/DR5/MWSH0/SI2266,TRAIN/DR5/MWSH0/SA1,0.9243,0.5681,0.7232,0.3472,hv,hv,dcl,dcl,i126664,i126711,M,M,MWSH0,MWSH0
t00000075034,TEST/DR5/MFGK0/SA1,0.4075,0.6579,BA,FALSE,ae,uh,i29041,hv,ae,dcl,MFGK0,M,DR5,B2,DR5,DR5,9.672836083,6.723225631,TRAIN/DR5/MWSH0/SI2266,TRAIN/DR5/MWSH0/SA1,0.9243,0.5681,0.7232,0.3472,hv,hv,dcl,dcl,i126664,i126711,M,M,MWSH0,MWSH0
t00000074962,TRAIN/DR7/MBOM0/SA1,0.3358,0.57,BA,FALSE,ae,uh,i148558,hv,ae,dcl,MBOM0,M,DR7,B3,DR5,DR5,9.710066596,6.52259035,TRAIN/DR5/MWSH0/SI2266,TRAIN/DR5/MWSH0/SA1,0.9243,0.5681,0.7232,0.3472,hv,hv,dcl,dcl,i126664,i126711,M,M,MWSH0,MWSH0
t00000089319,TRAIN/DR7/MBML0/SA2,1.6025,1.9347,AB,FALSE,ae,uw,i152943,r,ae,g,MBML0,M,DR7,B1,DR1,DR1,14.0736897,14.8659927,TRAIN/DR1/FKFB0/SX438,TRAIN/DR1/FKFB0/SA2,4.3806,2.3363,4.0895,1.9282,r,r,g,g,i167505,i167472,F,F,FKFB0,FKFB0
t00000104098,TEST/DR5/MBPM0/SI1584,2.1713,2.4101,AB,FALSE,ae,uw,i30835,t,ae,s,MBPM0,M,DR5,B2,DR3,DR3,16.24818749,12.54272971,TEST/DR3/MLNT0/SI642,TEST/DR3/MLNT0/SX102,1.3028,1.0052,0.8041,0.5925,t,t,s,s,i16400,i16357,M,M,MLNT0,MLNT0
t00000089322,TRAIN/DR7/MBTH0/SA2,1.6325,1.9641,AB,FALSE,ae,uw,i139749,r,ae,g,MBTH0,M,DR7,B3,DR1,DR1,11.99602386,13.1991769,TRAIN/DR1/FKFB0/SX438,TRAIN/DR1/FKFB0/SA2,4.3806,2.3363,4.0895,1.9282,r,r,g,g,i167505,i167472,F,F,FKFB0,FKFB0
t00000089334,TRAIN/DR1/MCPM0/SA2,1.4201,1.7519,BA,FALSE,ae,uw,i176392,r,ae,g,MCPM0,M,DR1,B1,DR1,DR1,14.26092129,13.6098176,TRAIN/DR1/FKFB0/SX438,TRAIN/DR1/FKFB0/SA2,4.3806,2.3363,4.0895,1.9282,r,r,g,g,i167505,i167472,F,F,FKFB0,FKFB0
t00000089383,TRAIN/DR3/MDWM0/SA2,1.718,2.0987,BA,FALSE,ae,uw,i75220,r,ae,g,MDWM0,M,DR3,B2,DR1,DR1,15.46069927,14.49581861,TRAIN/DR1/FKFB0/SX438,TRAIN/DR1/FKFB0/SA2,4.3806,2.3363,4.0895,1.9282,r,r,g,g,i167505,i167472,F,F,FKFB0,FKFB0
t00000089519,TRAIN/DR2/MRAB0/SA2,1.4178,1.7415,BA,FALSE,ae,uw,i106936,r,ae,g,MRAB0,M,DR2,B3,DR1,DR1,12.77928369,13.66362535,TRAIN/DR1/FKFB0/SX438,TRAIN/DR1/FKFB0/SA2,4.3806,2.3363,4.0895,1.9282,r,r,g,g,i167505,i167472,F,F,FKFB0,FKFB0
t00000099273,TEST/DR4/MKCL0/SI1721,0.145,0.3075,AB,FALSE,ah,aa,i3438,k,ah,m,MKCL0,M,DR4,B1,DR6,DR6,13.22568839,13.23237692,TRAIN/DR6/FRJB0/SI1470,TRAIN/DR6/FRJB0/SX167,0.6806,2.2437,0.4308,2.0174,k,k,m,m,i164186,i164323,F,F,FRJB0,FRJB0
t00000097686,TRAIN/DR4/MSTF0/SX136,1.3625,1.6119,AB,FALSE,ah,aa,i60574,k,ah,m,MSTF0,M,DR4,B2,DR6,DR6,7.504097976,8.773900499,TEST/DR6/MRJS0/SX94,TEST/DR6/MRJS0/SI2074,1.1151,0.4475,0.8775,0.2525,k,k,m,m,i39801,i39868,M,M,MRJS0,MRJS0
t00000103680,TRAIN/DR7/MTPR0/SX340,1.7981,1.9622,AB,FALSE,ah,aa,i152361,k,ah,l,MTPR0,M,DR7,B3,DR5,DR5,12.06184069,12.29577632,TRAIN/DR5/MSEM1/SX180,TRAIN/DR5/MSEM1/SX90,1.201,1.8025,0.9325,1.6051,k,k,l,l,i115412,i115399,M,M,MSEM1,MSEM1
t00000098246,TEST/DR8/MDAW1/SI1453,2.2325,2.4675,BA,FALSE,ah,aa,i47527,k,ah,m,MDAW1,M,DR8,B1,DR8,DR8,8.083552112,12.131906,TEST/DR8/MJTH0/SX36,TEST/DR8/MJTH0/SX306,1.0704,1.4969,0.8275,1.2725,k,k,m,m,i47946,i48103,M,M,MJTH0,MJTH0
t00000096875,TEST/DR8/MJTH0/SX306,1.2725,1.4969,BA,FALSE,ah,aa,i48103,k,ah,m,MJTH0,M,DR8,B2,DR4,DR4,13.00879131,11.55739546,TRAIN/DR4/MMDM0/SX51,TRAIN/DR4/MMDM0/SX141,2.0625,2.5125,1.8275,2.2125,k,k,m,m,i48847,i48890,M,M,MMDM0,MMDM0
t00000074657,TRAIN/DR4/MSMC0/SI509,1.8525,1.9475,BA,FALSE,ah,aa,i68611,b,ah,dx,MSMC0,M,DR4,B3,DR1,DR1,14.51958282,8.572976049,TRAIN/DR1/MWAR0/SI1675,TRAIN/DR1/MWAR0/SI1045,0.5136,3.4722,0.2,3.36,b,b,dx,dx,i169695,i169965,M,M,MWAR0,MWAR0
t00000001209,TEST/DR8/MSLB0/SX113,0.1514,0.389,AB,FALSE,ah,ae,i47832,m,ah,s,MSLB0,M,DR8,B1,DR3,DR3,11.68978465,9.585191022,TRAIN/DR3/FALK0/SX96,TRAIN/DR3/FALK0/SI1086,0.3968,1.9325,0.1225,1.6825,m,m,s,s,i74025,i74192,F,F,FALK0,FALK0
t00000094110,TEST/DR1/MWBT0/SX383,3.1302,3.5475,AB,FALSE,ah,ae,i43317,r,ah,g,MWBT0,M,DR1,B2,DR1,DR1,9.034408591,16.27318636,TRAIN/DR1/FKFB0/SA2,TRAIN/DR1/FKFB0/SX78,2.3363,1.48,1.9282,1.2644,r,r,g,g,i167472,i167354,F,F,FKFB0,FKFB0
t00000014382,TEST/DR4/MLLL0/SI1363,1.7775,2.1044,AB,FALSE,ah,ae,i2724,s,ah,m,MLLL0,M,DR4,B3,DR7,DR7,9.873254717,9.856391125,TRAIN/DR7/MRMH0/SI2281,TRAIN/DR7/MRMH0/SI1349,0.4336,0.9725,0.1567,0.7415,s,s,m,m,i138162,i138195,M,M,MRMH0,MRMH0
t00000094164,TRAIN/DR3/MRTC0/SI828,0.1906,0.3756,BA,FALSE,ah,ae,i71188,r,ah,g,MRTC0,M,DR3,B1,DR3,DR3,16.54553274,14.69392604,TEST/DR3/MCTW0/SA2,TEST/DR3/MCTW0/SX383,1.8281,2.9625,1.4621,2.5763,r,r,g,g,i10594,i10551,M,M,MCTW0,MCTW0
t00000013853,TRAIN/DR8/MEJS0/SI1240,1.4856,1.7232,BA,FALSE,ah,ae,i178446,m,ah,n,MEJS0,M,DR8,B2,DR6,DR6,11.83741478,12.44966526,TEST/DR6/FLNH0/SI941,TEST/DR6/FLNH0/SX134,2.7575,2.0757,2.4425,1.8825,m,m,n,n,i40147,i40058,F,F,FLNH0,FLNH0
t00000087088,TRAIN/DR3/MRTC0/SI828,0.1906,0.3756,BA,FALSE,ah,ae,i71188,r,ah,g,MRTC0,M,DR3,B3,DR8,DR8,13.61685637,11.85106891,TRAIN/DR8/FCEG0/SA2,TRAIN/DR8/FCEG0/SX78,1.7803,1.1904,1.5012,1.0213,r,r,g,g,i178923,i178846,F,F,FCEG0,FCEG0
