tripletid,file_X,onset_X,offset_X,phoneitem_id_X,phone1_X,phone3_X,talker_X,sex_X,dialect_X,phone_X,distance_OTH,dialect_OTH,file_OTH,offset_OTH,onset_OTH,phone1_OTH,phone3_OTH,phoneitem_id_OTH,sex_OTH,talker_OTH,phone_OTH,distance_TGT,dialect_TGT,file_TGT,offset_TGT,onset_TGT,phone1_TGT,phone3_TGT,phoneitem_id_TGT,sex_TGT,talker_TGT,phone_TGT
t00000054803,TRAIN/DR4/FBAS0/SI2066,4.9025,5.3075,i63739,l,r,FBAS0,F,DR4,aa,4.80216341696264,DR7,TRAIN/DR7/MTLC0/SA2,1.7467,1.5274,l,r,i152138,M,MTLC0,iy,4.18750578332761,DR7,TRAIN/DR7/MTLC0/SI847,0.6225,0.3962,l,r,i152027,M,MTLC0,aa
t00000056359,TRAIN/DR3/MDNS0/SI1011,3.2087,3.4084,i68731,l,r,MDNS0,M,DR3,aa,4.54737932530498,DR3,TRAIN/DR3/MMEB0/SA2,1.5222,1.3473,l,r,i75895,M,MMEB0,iy,4.53114333420341,DR3,TRAIN/DR3/MMEB0/SI1357,3.5945,3.3775,l,r,i75946,M,MMEB0,aa
t00000061634,TEST/DR4/FSEM0/SX118,1.5175,1.7625,i8202,l,r,FSEM0,F,DR4,aa,4.63630893411078,DR2,TEST/DR2/FCMR0/SA2,2.2898,2.0183,l,r,i20691,F,FCMR0,iy,3.65906717536988,DR2,TEST/DR2/FCMR0/SX205,2.0966,1.8198,l,r,i20646,F,FCMR0,aa
t00000016458,TRAIN/DR3/MPRD0/SA1,0.7258,0.9925,i69523,d,r,MPRD0,M,DR3,aa,3.84716142522229,DR3,TEST/DR3/MWJG0/SX224,1.3211,1.1462,d,r,i14480,M,MWJG0,uh,3.19529667564074,DR3,TEST/DR3/MWJG0/SA1,0.8825,0.6475,d,r,i14589,M,MWJG0,aa
t00000015559,TEST/DR2/MABW0/SA1,0.6118,0.8277,i22765,d,r,MABW0,M,DR2,aa,4.44524639428512,DR5,TRAIN/DR5/FSJG0/SI940,0.3759,0.1369,d,r,i113355,F,FSJG0,uh,3.79609951880827,DR5,TRAIN/DR5/FSJG0/SA1,1.4725,1.1093,d,r,i113558,F,FSJG0,aa
t00000015731,TRAIN/DR7/MJJM0/SA1,0.5125,0.69,i153735,d,r,MJJM0,M,DR7,aa,4.76470028326952,DR5,TRAIN/DR5/FSJG0/SI940,0.3759,0.1369,d,r,i113355,F,FSJG0,uh,4.57253980933693,DR5,TRAIN/DR5/FSJG0/SA1,1.4725,1.1093,d,r,i113558,F,FSJG0,aa
t00000100193,TRAIN/DR3/FLJD0/SA1,2.055,2.2575,i89668,w,dx,FLJD0,F,DR3,aa,5.69197020016329,DR2,TEST/DR2/MRCZ0/SI2171,0.8975,0.77,w,dx,i17269,M,MRCZ0,uh,5.10136135458628,DR2,TEST/DR2/MRCZ0/SA1,2.5675,2.355,w,dx,i17177,M,MRCZ0,aa
t00000015535,TRAIN/DR1/FSJK1/SA1,0.6527,0.9295,i172703,d,r,FSJK1,F,DR1,aa,5.82477244932407,DR5,TRAIN/DR5/FSJG0/SI940,0.3759,0.1369,d,r,i113355,F,FSJG0,uh,4.32049017394155,DR5,TRAIN/DR5/FSJG0/SA1,1.4725,1.1093,d,r,i113558,F,FSJG0,aa
t00000016526,TRAIN/DR7/MSAH1/SA1,0.6175,0.7792,i146311,d,r,MSAH1,M,DR7,aa,4.22180824177169,DR3,TEST/DR3/MWJG0/SX224,1.3211,1.1462,d,r,i14480,M,MWJG0,uh,3.16751110402575,DR3,TEST/DR3/MWJG0/SA1,0.8825,0.6475,d,r,i14589,M,MWJG0,aa
t00000017958,TRAIN/DR2/FMMH0/SA1,0.8459,1.0704,i93036,d,r,FMMH0,F,DR2,aa,4.37127606642544,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,4.57712855057601,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000017994,TRAIN/DR2/FSKL0/SA1,0.5509,0.7519,i97517,d,r,FSKL0,F,DR2,aa,4.98915611007714,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,4.87337369828393,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000018167,TRAIN/DR4/MJDC0/SA1,0.6606,0.9008,i59215,d,r,MJDC0,M,DR4,aa,4.4103954195535104,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,4.08342450984897,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000017936,TRAIN/DR5/FLJA0/SA1,1.2755,1.5324,i123397,d,r,FLJA0,F,DR5,aa,4.48010170461265,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,4.20979612580626,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000018118,TRAIN/DR2/MEFG0/SA1,0.6971,0.9321,i92714,d,r,MEFG0,M,DR2,aa,4.39131409862498,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,3.49517318397945,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000018285,TEST/DR7/MNLS0/SA1,0.6275,0.8475,i37946,d,r,MNLS0,M,DR7,aa,4.3966057732331,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,3.12488431765666,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000086662,TRAIN/DR8/FNKL0/SA2,1.4987,1.859,i177272,r,g,FNKL0,F,DR8,ae,3.88605348821012,DR3,TRAIN/DR3/FGCS0/SX136,1.2238,1.0074,r,g,i78954,F,FGCS0,aa,3.12944422000472,DR3,TRAIN/DR3/FGCS0/SA2,2.8356,2.5143,r,g,i79096,F,FGCS0,ae
t00000102551,TRAIN/DR6/FRJB0/SA2,0.78,1.0626,i164360,k,r,FRJB0,F,DR6,ae,3.70618616858814,DR6,TRAIN/DR6/FKLC1/SX328,1.8929,1.6866,k,r,i166180,F,FKLC1,aa,2.89719095345872,DR6,TRAIN/DR6/FKLC1/SA2,1.0939,0.7925,k,r,i166085,F,FKLC1,ae
t00000102457,TRAIN/DR1/FSMA0/SA2,0.8575,1.1694,i174735,k,r,FSMA0,F,DR1,ae,4.8599949664685,DR6,TRAIN/DR6/FHXS0/SI1075,3.105,2.6834,k,r,i161023,F,FHXS0,aa,3.5087638456368,DR6,TRAIN/DR6/FHXS0/SA2,1.1932,0.8175,k,r,i161180,F,FHXS0,ae
t00000095506,TEST/DR4/MKCL0/SA2,1.6318,1.9875,i3345,r,g,MKCL0,M,DR4,ae,4.22257533769925,DR4,TRAIN/DR4/MSFH0/SX136,1.3025,1.0679,r,g,i64411,M,MSFH0,aa,3.87179214224578,DR4,TRAIN/DR4/MSFH0/SA2,2.7325,2.3159,r,g,i64557,M,MSFH0,ae
t00000091237,TRAIN/DR4/FPAF0/SA2,1.6073,1.9256,i65663,r,g,FPAF0,F,DR4,ae,4.36207338031957,DR2,TRAIN/DR2/MMAG0/SX136,1.2325,1.0075,r,g,i109578,M,MMAG0,aa,4.03787900769005,DR2,TRAIN/DR2/MMAG0/SA2,1.9895,1.5822,r,g,i109725,M,MMAG0,ae
t00000105479,TRAIN/DR6/MTJU0/SI760,0.4475,0.721,i156382,k,n,MTJU0,M,DR6,ae,3.88540436271528,DR7,TRAIN/DR7/MTML0/SX435,1.8589,1.5925,k,n,i145924,M,MTML0,aa,3.32895360952329,DR7,TRAIN/DR7/MTML0/SX75,0.8334,0.6206,k,n,i146038,M,MTML0,ae
t00000089910,TRAIN/DR2/MHRM0/SA2,1.4313,1.6894,i94235,r,g,MHRM0,M,DR2,ae,4.32963900177682,DR8,TEST/DR8/MSLB0/SX383,2.4337,2.1625,r,g,i47688,M,MSLB0,ah,3.87165248152503,DR8,TEST/DR8/MSLB0/SA2,1.9475,1.5561,r,g,i47796,M,MSLB0,ae
t00000092931,TRAIN/DR5/MMAB1/SA2,1.6475,2.0651,i119384,r,g,MMAB1,M,DR5,ae,4.27535340735433,DR1,TEST/DR1/MWBT0/SX383,3.5475,3.1302,r,g,i43317,M,MWBT0,ah,3.86187375074596,DR1,TEST/DR1/MWBT0/SA2,2.1152,1.6919,r,g,i43355,M,MWBT0,ae
t00000082910,TEST/DR2/FCMR0/SA2,2.1619,2.5613,i20693,r,g,FCMR0,F,DR2,ae,3.7781980039499,DR8,TRAIN/DR8/FCEG0/SX78,1.1904,1.0213,r,g,i178846,F,FCEG0,ah,3.46359259561843,DR8,TRAIN/DR8/FCEG0/SA2,1.7803,1.5012,r,g,i178923,F,FCEG0,ae
t00000082998,TRAIN/DR8/FMBG0/SA2,1.6553,1.9425,i179231,r,g,FMBG0,F,DR8,ae,3.50583232372997,DR8,TRAIN/DR8/FCEG0/SX78,1.1904,1.0213,r,g,i178846,F,FCEG0,ah,3.43992977415237,DR8,TRAIN/DR8/FCEG0/SA2,1.7803,1.5012,r,g,i178923,F,FCEG0,ae
t00000086372,TRAIN/DR2/MKDT0/SA2,1.5378,1.8788,i91672,r,g,MKDT0,M,DR2,ae,4.28485182722036,DR2,TRAIN/DR2/MJDE0/SI463,1.8,1.4025,r,g,i94406,M,MJDE0,ah,3.49444313124759,DR2,TRAIN/DR2/MJDE0/SA2,2.6775,2.1825,r,g,i94539,M,MJDE0,ae
t00000085583,TRAIN/DR3/FDFB0/SA2,1.4203,1.7486,i80514,r,g,FDFB0,F,DR3,ae,4.20457512803408,DR3,TRAIN/DR3/MKLS1/SI915,4.2038,3.8324,r,g,i90796,M,MKLS1,ah,4.53248333622312,DR3,TRAIN/DR3/MKLS1/SA2,2.0469,1.6841,r,g,i90614,M,MKLS1,ae
t00000106709,TRAIN/DR5/FLMK0/SA2,2.5712,2.9075,i118785,dh,q,FLMK0,F,DR5,ae,4.27248161089629,DR7,TEST/DR7/FGWR0/SX228,1.8794,1.7363,dh,q,i33474,F,FGWR0,iy,3.45788942041489,DR7,TEST/DR7/FGWR0/SI2208,2.2481,2.0138,dh,q,i33291,F,FGWR0,ae
t00000051357,TRAIN/DR4/MJPM1/SA2,0.4225,0.7219,i56303,nx,s,MJPM1,M,DR4,ae,4.22964127563639,DR5,TRAIN/DR5/MBGT0/SI1841,3.2769,3.0417,nx,s,i131533,M,MBGT0,iy,2.85416954139855,DR5,TRAIN/DR5/MBGT0/SA2,0.6869,0.3725,nx,s,i131652,M,MBGT0,ae
t00000093723,TRAIN/DR3/FSKC0/SA2,1.8058,2.1256,i85857,r,g,FSKC0,F,DR3,ae,3.85818508609796,DR5,TRAIN/DR5/MTAT0/SI811,1.1122,0.8975,r,g,i116152,M,MTAT0,iy,3.17068487427688,DR5,TRAIN/DR5/MTAT0/SA2,1.765,1.4308,r,g,i116140,M,MTAT0,ae
t00000011609,TRAIN/DR2/MRJH0/SA2,2.0174,2.4288,i100371,dh,tcl,MRJH0,M,DR2,ae,4.51754454717574,DR4,TRAIN/DR4/MJDC0/SI1161,0.4308,0.2475,dh,tcl,i59100,M,MJDC0,iy,3.24313198367283,DR4,TRAIN/DR4/MJDC0/SA2,2.1514,1.7963,dh,tcl,i59207,M,MJDC0,ae
t00000076985,TRAIN/DR5/MGES0/SA2,0.2321,0.4593,i116410,n,s,MGES0,M,DR5,ae,4.34722082739346,DR4,TEST/DR4/MTEB0/SX413,0.7662,0.445,n,s,i4038,M,MTEB0,iy,3.45743583115026,DR4,TEST/DR4/MTEB0/SA2,0.5544,0.295,n,s,i3932,M,MTEB0,ae
t00000011342,TRAIN/DR7/FREH0/SX325,1.3354,1.5411,i142821,dh,tcl,FREH0,F,DR7,ae,5.53231450667618,DR4,TRAIN/DR4/MJDC0/SI1161,0.4308,0.2475,dh,tcl,i59100,M,MJDC0,iy,4.92059453749732,DR4,TRAIN/DR4/MJDC0/SA2,2.1514,1.7963,dh,tcl,i59207,M,MJDC0,ae
t00000074840,TEST/DR2/FJRE0/SA1,0.2976,0.5041,i24198,hv,dcl,FJRE0,F,DR2,ae,5.31919584163038,DR5,TRAIN/DR5/MWSH0/SI2266,0.9243,0.7232,hv,dcl,i126664,M,MWSH0,uh,4.57207939341206,DR5,TRAIN/DR5/MWSH0/SA1,0.5681,0.3472,hv,dcl,i126711,M,MWSH0,ae
t00000076117,TRAIN/DR6/FLAG0/SX294,1.0809,1.4138,i158168,r,f,FLAG0,F,DR6,ae,4.95009556065449,DR2,TRAIN/DR2/MCTM0/SI1980,4.0415,3.6629,r,f,i112277,M,MCTM0,uh,3.88810907816688,DR2,TRAIN/DR2/MCTM0/SX450,3.0725,2.7356,r,f,i112217,M,MCTM0,ae
t00000075016,TEST/DR5/MDRB0/SI2109,1.6371,1.9375,i24593,hv,dcl,MDRB0,M,DR5,ae,3.85301808164408,DR5,TRAIN/DR5/MWSH0/SI2266,0.9243,0.7232,hv,dcl,i126664,M,MWSH0,uh,3.42509091087153,DR5,TRAIN/DR5/MWSH0/SI2266,1.36,0.9243,hv,dcl,i126667,M,MWSH0,ae
t00000074991,TEST/DR2/MDBB0/SA1,0.42,0.6866,i22448,hv,dcl,MDBB0,M,DR2,ae,4.65311922150898,DR5,TRAIN/DR5/MWSH0/SI2266,0.9243,0.7232,hv,dcl,i126664,M,MWSH0,uh,3.86477695818127,DR5,TRAIN/DR5/MWSH0/SA1,0.5681,0.3472,hv,dcl,i126711,M,MWSH0,ae
t00000075034,TEST/DR5/MFGK0/SA1,0.4075,0.6579,i29041,hv,dcl,MFGK0,M,DR5,ae,3.42774955879962,DR5,TRAIN/DR5/MWSH0/SI2266,0.9243,0.7232,hv,dcl,i126664,M,MWSH0,uh,3.46078136972989,DR5,TRAIN/DR5/MWSH0/SA1,0.5681,0.3472,hv,dcl,i126711,M,MWSH0,ae
t00000074962,TRAIN/DR7/MBOM0/SA1,0.3358,0.57,i148558,hv,dcl,MBOM0,M,DR7,ae,3.66994756071934,DR5,TRAIN/DR5/MWSH0/SI2266,0.9243,0.7232,hv,dcl,i126664,M,MWSH0,uh,3.29158330930113,DR5,TRAIN/DR5/MWSH0/SA1,0.5681,0.3472,hv,dcl,i126711,M,MWSH0,ae
t00000089319,TRAIN/DR7/MBML0/SA2,1.6025,1.9347,i152943,r,g,MBML0,M,DR7,ae,5.56172171467703,DR1,TRAIN/DR1/FKFB0/SX438,4.3806,4.0895,r,g,i167505,F,FKFB0,uw,4.78397101463885,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae
t00000104098,TEST/DR5/MBPM0/SI1584,2.1713,2.4101,i30835,t,s,MBPM0,M,DR5,ae,4.52904467454545,DR3,TEST/DR3/MLNT0/SI642,1.3028,0.8041,t,s,i16400,M,MLNT0,uw,3.93719566753209,DR3,TEST/DR3/MLNT0/SX102,1.0052,0.5925,t,s,i16357,M,MLNT0,ae
t00000089322,TRAIN/DR7/MBTH0/SA2,1.6325,1.9641,i139749,r,g,MBTH0,M,DR7,ae,3.78660399495198,DR1,TRAIN/DR1/FKFB0/SX438,4.3806,4.0895,r,g,i167505,F,FKFB0,uw,3.91674735345198,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae
t00000089334,TRAIN/DR1/MCPM0/SA2,1.4201,1.7519,i176392,r,g,MCPM0,M,DR1,ae,4.64159835866297,DR1,TRAIN/DR1/FKFB0/SX438,4.3806,4.0895,r,g,i167505,F,FKFB0,uw,4.06217630876365,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae
t00000089383,TRAIN/DR3/MDWM0/SA2,1.7180000000000002,2.0987,i75220,r,g,MDWM0,M,DR3,ae,5.27792977523934,DR1,TRAIN/DR1/FKFB0/SX438,4.3806,4.0895,r,g,i167505,F,FKFB0,uw,4.84845713950198,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae
t00000089519,TRAIN/DR2/MRAB0/SA2,1.4178,1.7415,i106936,r,g,MRAB0,M,DR2,ae,4.77891762332816,DR1,TRAIN/DR1/FKFB0/SX438,4.3806,4.0895,r,g,i167505,F,FKFB0,uw,4.04837232340545,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae
t00000099273,TEST/DR4/MKCL0/SI1721,0.145,0.3075,i3438,k,m,MKCL0,M,DR4,ah,4.5838565090061,DR6,TRAIN/DR6/FRJB0/SI1470,0.6806,0.4308,k,m,i164186,F,FRJB0,aa,4.47490479890869,DR6,TRAIN/DR6/FRJB0/SX167,2.2437,2.0174,k,m,i164323,F,FRJB0,ah
t00000097686,TRAIN/DR4/MSTF0/SX136,1.3625,1.6119,i60574,k,m,MSTF0,M,DR4,ah,3.52805884577557,DR6,TEST/DR6/MRJS0/SX94,1.1151,0.8775,k,m,i39801,M,MRJS0,aa,3.08984469327168,DR6,TEST/DR6/MRJS0/SI2074,0.4475,0.2525,k,m,i39868,M,MRJS0,ah
t00000103680,TRAIN/DR7/MTPR0/SX340,1.7981,1.9622,i152361,k,l,MTPR0,M,DR7,ah,4.72394849671501,DR5,TRAIN/DR5/MSEM1/SX180,1.201,0.9325,k,l,i115412,M,MSEM1,aa,4.0573771793192,DR5,TRAIN/DR5/MSEM1/SX90,1.8025,1.6051,k,l,i115399,M,MSEM1,ah
t00000098246,TEST/DR8/MDAW1/SI1453,2.2325,2.4675,i47527,k,m,MDAW1,M,DR8,ah,3.85755445981135,DR8,TEST/DR8/MJTH0/SX36,1.0704,0.8275,k,m,i47946,M,MJTH0,aa,4.34299622433619,DR8,TEST/DR8/MJTH0/SX306,1.4969,1.2725,k,m,i48103,M,MJTH0,ah
t00000096875,TEST/DR8/MJTH0/SX306,1.2725,1.4969,i48103,k,m,MJTH0,M,DR8,ah,4.09904717819999,DR4,TRAIN/DR4/MMDM0/SX51,2.0625,1.8275,k,m,i48847,M,MMDM0,aa,3.76397858304006,DR4,TRAIN/DR4/MMDM0/SX141,2.5125,2.2125,k,m,i48890,M,MMDM0,ah
t00000074657,TRAIN/DR4/MSMC0/SI509,1.8525,1.9475,i68611,b,dx,MSMC0,M,DR4,ah,3.06631932463564,DR1,TRAIN/DR1/MWAR0/SI1675,0.5136,0.2,b,dx,i169695,M,MWAR0,aa,3.45222398886163,DR1,TRAIN/DR1/MWAR0/SI1045,3.4722,3.36,b,dx,i169965,M,MWAR0,ah
t00000001209,TEST/DR8/MSLB0/SX113,0.1514,0.389,i47832,m,s,MSLB0,M,DR8,ah,3.74056800203806,DR3,TRAIN/DR3/FALK0/SX96,0.3968,0.1225,m,s,i74025,F,FALK0,ae,4.75291509951046,DR3,TRAIN/DR3/FALK0/SI1086,1.9325,1.6825,m,s,i74192,F,FALK0,ah
t00000094110,TEST/DR1/MWBT0/SX383,3.1302,3.5475,i43317,r,g,MWBT0,M,DR1,ah,4.59882044437976,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae,4.54263009323959,DR1,TRAIN/DR1/FKFB0/SX78,1.48,1.2644,r,g,i167354,F,FKFB0,ah
t00000014382,TEST/DR4/MLLL0/SI1363,1.7775,2.1044,i2724,s,m,MLLL0,M,DR4,ah,4.04014000012885,DR7,TRAIN/DR7/MRMH0/SI2281,0.4336,0.1567,s,m,i138162,M,MRMH0,ae,3.79423538327428,DR7,TRAIN/DR7/MRMH0/SI1349,0.9725,0.7415,s,m,i138195,M,MRMH0,ah
t00000094164,TRAIN/DR3/MRTC0/SI828,0.1906,0.3756,i71188,r,g,MRTC0,M,DR3,ah,4.63186101481875,DR3,TEST/DR3/MCTW0/SA2,1.8281,1.4621,r,g,i10594,M,MCTW0,ae,4.62916182900555,DR3,TEST/DR3/MCTW0/SX383,2.9625,2.5763,r,g,i10551,M,MCTW0,ah
t00000013853,TRAIN/DR8/MEJS0/SI1240,1.4856,1.7232,i178446,m,n,MEJS0,M,DR8,ah,4.66128810024549,DR6,TEST/DR6/FLNH0/SI941,2.7575,2.4425,m,n,i40147,F,FLNH0,ae,4.82359910294626,DR6,TEST/DR6/FLNH0/SX134,2.0757,1.8825,m,n,i40058,F,FLNH0,ah
t00000087088,TRAIN/DR3/MRTC0/SI828,0.1906,0.3756,i71188,r,g,MRTC0,M,DR3,ah,4.57524731269417,DR8,TRAIN/DR8/FCEG0/SA2,1.7803,1.5012,r,g,i178923,F,FCEG0,ae,4.31951749995635,DR8,TRAIN/DR8/FCEG0/SX78,1.1904,1.0213,r,g,i178846,F,FCEG0,ah
t00000050383,TEST/DR3/MJMP0/SI1791,2.1827,2.44,i9706,w,n,MJMP0,M,DR3,ah,5.16986572461067,DR5,TRAIN/DR5/MEWM0/SX178,2.4623,2.2454,w,n,i124179,M,MEWM0,iy,4.64454021143517,DR5,TRAIN/DR5/MEWM0/SX88,2.4554,2.3479,w,n,i124294,M,MEWM0,ah
t00000022515,TRAIN/DR3/MMJB1/SX58,1.6494,1.8302,i81342,r,s,MMJB1,M,DR3,ah,4.15178455176655,DR2,TRAIN/DR2/MRJT0/SI868,3.48,3.2585,r,s,i94741,M,MRJT0,iy,4.05254541477518,DR2,TRAIN/DR2/MRJT0/SX58,1.9921,1.8016,r,s,i94835,M,MRJT0,ah
