subject_id,subject_language,survey_time,comments,experiment_topic
X_FJMAGPVOCW,French,1:45.8,Aucun problème technique le test s'est déroulé normalement la troisième partie du test était un peu plus compliqué que les deux premières les différences entre les extraits étant moins marqués.,Des extraits de mots de langues étrangères se ressemblant phonétiquement. 
X_VQTZOUGIBW,French,0:59.0,Pas de problèmes particuliers,
X_VOXKQDNAGI,French,1:38.2,J'ai eu la sensation d'entendre deux fois les mêmes sons quelques fois. A part ça je n'ai pas à me plaindre.,"Comment sont perçus les sons se ressemblant (de près ou de loin comme ""ifi"" ou ici"") selon les gens et leurs ages peut-être?"
X_TDHLEFOPUZ,French,2:17.8,Aucun problèmes spécifiques.  - Test rapide et simple ,Oui  - la reconnaissance part l'IA de certains mots donc la phonétique est très proche 
X_PCJRBVAFGK,French,0:39.6,Un peu long mais plutôt simple à réaliser,Des différences de prononciations 
X_OEQIAPUNTY,French,1:56.1,non,la facilité à distinguer des sons
X_ZJEPIDGBNQ,French,1:6.3,Une impression de répétition dans les question ,Non aucune idée
X_WVIHUCMNOA,French,3:0.2,Je ne suis pas sûr mais peut-être d'un dictionnaire.,je n'ai aucune idée
X_ANMRJVBCHE,French,0:41.3,Très bon site pour des missions comme ça,Discrétiser des seuils de différences en fonction du temps qui passe dans l'expérience
X_BNIGQTFEXV,French,0:47.1,C'est bizarre de mettre le son à évaluer en dernier... ça m'a mené plusieurs fois à confusion...,La prononciation des langues étrangères?
X_GWMVXJRQTZ,French,0:22.8,aucune idée,aucune idée
X_GWMVXJRQTZ,French,0:22.8,aucune idée,aucune idée
X_FGDYRSVPKC,French,7:26.2,La différence entre certains sons parait extrêmement ténue à l'oreille non entrainée le fait de ne pas pouvoir écouter à nouveau rend la tache difficile. -  - Techniquement le site fonctionne très bien.,Il est possible que vous étudiez la perception et la différentiation des sons avec pour objectif d'améliorer un algorithme d'apprentissage machine. - Peut-être en rapport avec la langue coréenne ? Beaucoup de sons semblent rappeler cette langue.
X_UEBGICNSMW,French,1:21.9,Pas vraiment sauf quelques problèmes de compréhension au début de l'expérience mais on s'y habitue facilement.,Peut être les différents accents et leurs prononciations 
X_YTLUQDJFPN,French,1:12.3,à priori aucuns problèmes techniques - beaucoup de répétitions dans les sons qui nous font vite perdre le fil si nous ne sommes pas assez concentrés,
X_EQALWBIHKC,French,0:12.9,,
X_JWDOTVPRAS,French,0:55.8,Ne pas pouvoir reecouter les sons est derangeant,Non
X_DNWAFCZUEX,French,0:29.8,Aucun problème,Franchement pas.
X_IDPENSXFZH,French,0:58.7,pas de problème,ma capacité en tant que Français à reconnaître certains sons d'une langue scandinave
X_EZLPMDFCRW,French,0:15.2,Le test s'est bien passé,Non
X_CMKDOVGYXF,French,0:18.9,,phonétique
X_CLBQXPARZD,French,2:13.0,Pas de problème pas d'indication sur les critères à privilégier mais c'est probablement le but.,L'importance de l'intonation priorité des consonnes ou des voyelles dans la compréhension.
X_JYDIRUCSPN,French,1:29.5,Ne matchait pas sur firefox,detections des sons genre différents (ou plutot vois différente) 
X_CZHERTOKXP,French,0:2.1,,
X_KFTBCDLMPO,French,0:14.5,,
X_JKYXVHSIFU,French,1:33.5,A début je ne comprennais pas ce qu'il  fallait faire il m'a fallu un peu pour comprendre,je pense que c'est un projet auditif soit pour la recherche medicale soit pour un application mobile
