tripletid,file_X,onset_X,offset_X,presentation_order,Practice,Target phone,Other phone,phoneitem_id_X,phone1_X,phone2_X,phone3_X,talker_X,sex_X,dialect_X,Block,dialect_OTH,dialect_TGT,distance_OTH_norm,distance_TGT_norm,file_OTH,file_TGT,offset_OTH,offset_TGT,onset_OTH,onset_TGT,phone1_OTH,phone1_TGT,phone3_OTH,phone3_TGT,phoneitem_id_OTH,phoneitem_id_TGT,sex_OTH,sex_TGT,talker_OTH,talker_TGT
t00000051162,TRAIN/DR6/FPAD0/SX446,0.1843,0.3672,BA,FALSE,aa,ah,i157507,t,aa,m,FPAD0,F,DR6,B2,DR2,DR2,23.88350225,18.75643911,TRAIN/DR2/MRJT0/SI1498,TRAIN/DR2/MRJT0/SX328,1.5931,1.239,1.3707,0.8511,t,t,m,m,i94766,i94988,M,M,MRJT0,MRJT0
t00000100328,TRAIN/DR2/MDEM0/SA1,3.0858,3.2625,BA,FALSE,aa,ah,i100768,w,aa,dx,MDEM0,M,DR2,B3,DR3,DR3,22.42484763,20.02787072,TEST/DR3/FCMH0/SI2084,TEST/DR3/FCMH0/SA1,0.2675,2.8025,0.135,2.6141,w,w,dx,dx,i11036,i11118,F,F,FCMH0,FCMH0
t00000043753,TRAIN/DR4/MRAB1/SX308,2.4483,2.7,AB,FALSE,aa,iy,i62304,r,aa,s,MRAB1,M,DR4,B1,DR7,DR7,15.08059044,11.72509939,TRAIN/DR7/MBTH0/SA1,TRAIN/DR7/MBTH0/SX302,1.7188,1.7169,1.4712,1.4606,r,r,s,s,i139787,i139814,M,M,MBTH0,MBTH0
t00000049930,TEST/DR2/FJWB0/SX95,0.2611,0.4875,AB,FALSE,aa,iy,i18576,w,aa,n,FJWB0,F,DR2,B2,DR2,DR2,19.1876782,15.79339868,TRAIN/DR2/MKAH0/SX178,TRAIN/DR2/MKAH0/SX88,2.8632,2.63,2.6559,2.4752,w,w,n,n,i104488,i104571,M,M,MKAH0,MKAH0
t00000020635,TEST/DR3/MHPG0/SI1090,2.2325,2.4775,AB,FALSE,aa,iy,i14087,r,aa,s,MHPG0,M,DR3,B3,DR2,DR2,20.80381818,19.8209575,TRAIN/DR2/FJKL0/SI932,TRAIN/DR2/FJKL0/SX392,3.6681,1.6846,3.4244,1.4619,r,r,s,s,i90932,i90980,F,F,FJKL0,FJKL0
t00000054803,TRAIN/DR4/FBAS0/SI2066,4.9025,5.3075,BA,FALSE,aa,iy,i63739,l,aa,r,FBAS0,F,DR4,B1,DR7,DR7,21.51646417,18.67960224,TRAIN/DR7/MTLC0/SA2,TRAIN/DR7/MTLC0/SI847,1.7467,0.6225,1.5274,0.3962,l,l,r,r,i152138,i152027,M,M,MTLC0,MTLC0
t00000056359,TRAIN/DR3/MDNS0/SI1011,3.2087,3.4084,BA,FALSE,aa,iy,i68731,l,aa,r,MDNS0,M,DR3,B2,DR3,DR3,16.6457617,14.58630514,TRAIN/DR3/MMEB0/SA2,TRAIN/DR3/MMEB0/SI1357,1.5222,3.5945,1.3473,3.3775,l,l,r,r,i75895,i75946,M,M,MMEB0,MMEB0
t00000061634,TEST/DR4/FSEM0/SX118,1.5175,1.7625,BA,FALSE,aa,iy,i8202,l,aa,r,FSEM0,F,DR4,B3,DR2,DR2,17.67283038,17.61015326,TEST/DR2/FCMR0/SA2,TEST/DR2/FCMR0/SX205,2.2898,2.0966,2.0183,1.8198,l,l,r,r,i20691,i20646,F,F,FCMR0,FCMR0
t00000016458,TRAIN/DR3/MPRD0/SA1,0.7258,0.9925,AB,FALSE,aa,uh,i69523,d,aa,r,MPRD0,M,DR3,B1,DR3,DR3,18.34330673,13.58589628,TEST/DR3/MWJG0/SX224,TEST/DR3/MWJG0/SA1,1.3211,0.8825,1.1462,0.6475,d,d,r,r,i14480,i14589,M,M,MWJG0,MWJG0
t00000015559,TEST/DR2/MABW0/SA1,0.6118,0.8277,AB,FALSE,aa,uh,i22765,d,aa,r,MABW0,M,DR2,B2,DR5,DR5,21.8275138,15.14429709,TRAIN/DR5/FSJG0/SI940,TRAIN/DR5/FSJG0/SA1,0.3759,1.4725,0.1369,1.1093,d,d,r,r,i113355,i113558,F,F,FSJG0,FSJG0
t00000015731,TRAIN/DR7/MJJM0/SA1,0.5125,0.69,AB,FALSE,aa,uh,i153735,d,aa,r,MJJM0,M,DR7,B3,DR5,DR5,19.48237818,16.7141455,TRAIN/DR5/FSJG0/SI940,TRAIN/DR5/FSJG0/SA1,0.3759,1.4725,0.1369,1.1093,d,d,r,r,i113355,i113558,F,F,FSJG0,FSJG0
t00000100193,TRAIN/DR3/FLJD0/SA1,2.055,2.2575,BA,FALSE,aa,uh,i89668,w,aa,dx,FLJD0,F,DR3,B1,DR2,DR2,19.83743294,17.00154429,TEST/DR2/MRCZ0/SI2171,TEST/DR2/MRCZ0/SA1,0.8975,2.5675,0.77,2.355,w,w,dx,dx,i17269,i17177,M,M,MRCZ0,MRCZ0
t00000015535,TRAIN/DR1/FSJK1/SA1,0.6527,0.9295,BA,FALSE,aa,uh,i172703,d,aa,r,FSJK1,F,DR1,B2,DR5,DR5,27.36890521,14.41703284,TRAIN/DR5/FSJG0/SI940,TRAIN/DR5/FSJG0/SA1,0.3759,1.4725,0.1369,1.1093,d,d,r,r,i113355,i113558,F,F,FSJG0,FSJG0
t00000016526,TRAIN/DR7/MSAH1/SA1,0.6175,0.7792,BA,FALSE,aa,uh,i146311,d,aa,r,MSAH1,M,DR7,B3,DR3,DR3,20.49647179,15.38732742,TEST/DR3/MWJG0/SX224,TEST/DR3/MWJG0/SA1,1.3211,0.8825,1.1462,0.6475,d,d,r,r,i14480,i14589,M,M,MWJG0,MWJG0
t00000017958,TRAIN/DR2/FMMH0/SA1,0.8459,1.0704,AB,FALSE,aa,uw,i93036,d,aa,r,FMMH0,F,DR2,B1,DR2,DR2,22.53849964,21.07942306,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000017994,TRAIN/DR2/FSKL0/SA1,0.5509,0.7519,AB,FALSE,aa,uw,i97517,d,aa,r,FSKL0,F,DR2,B2,DR2,DR2,20.62752201,18.83716422,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000018167,TRAIN/DR4/MJDC0/SA1,0.6606,0.9008,AB,FALSE,aa,uw,i59215,d,aa,r,MJDC0,M,DR4,B3,DR2,DR2,16.69699898,15.87229457,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000017936,TRAIN/DR5/FLJA0/SA1,1.2755,1.5324,BA,FALSE,aa,uw,i123397,d,aa,r,FLJA0,F,DR5,B1,DR2,DR2,18.44170369,15.60231271,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000018118,TRAIN/DR2/MEFG0/SA1,0.6971,0.9321,BA,FALSE,aa,uw,i92714,d,aa,r,MEFG0,M,DR2,B2,DR2,DR2,17.12926263,13.48239448,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000018285,TEST/DR7/MNLS0/SA1,0.6275,0.8475,BA,FALSE,aa,uw,i37946,d,aa,r,MNLS0,M,DR7,B3,DR2,DR2,18.2604648,16.28294494,TRAIN/DR2/MRFK0/SI2336,TRAIN/DR2/MRFK0/SA1,1.4517,0.8041,1.0075,0.5525,d,d,r,r,i110840,i110901,M,M,MRFK0,MRFK0
t00000086662,TRAIN/DR8/FNKL0/SA2,1.4987,1.859,AB,FALSE,ae,aa,i177272,r,ae,g,FNKL0,F,DR8,B1,DR3,DR3,19.70571765,15.26652335,TRAIN/DR3/FGCS0/SX136,TRAIN/DR3/FGCS0/SA2,1.2238,2.8356,1.0074,2.5143,r,r,g,g,i78954,i79096,F,F,FGCS0,FGCS0
t00000102551,TRAIN/DR6/FRJB0/SA2,0.78,1.0626,AB,FALSE,ae,aa,i164360,k,ae,r,FRJB0,F,DR6,B2,DR6,DR6,15.71918392,11.51708763,TRAIN/DR6/FKLC1/SX328,TRAIN/DR6/FKLC1/SA2,1.8929,1.0939,1.6866,0.7925,k,k,r,r,i166180,i166085,F,F,FKLC1,FKLC1
t00000102457,TRAIN/DR1/FSMA0/SA2,0.8575,1.1694,AB,FALSE,ae,aa,i174735,k,ae,r,FSMA0,F,DR1,B3,DR6,DR6,23.75578766,14.06207832,TRAIN/DR6/FHXS0/SI1075,TRAIN/DR6/FHXS0/SA2,3.105,1.1932,2.6834,0.8175,k,k,r,r,i161023,i161180,F,F,FHXS0,FHXS0
t00000095506,TEST/DR4/MKCL0/SA2,1.6318,1.9875,BA,FALSE,ae,aa,i3345,r,ae,g,MKCL0,M,DR4,B1,DR4,DR4,17.47408298,11.94291581,TRAIN/DR4/MSFH0/SX136,TRAIN/DR4/MSFH0/SA2,1.3025,2.7325,1.0679,2.3159,r,r,g,g,i64411,i64557,M,M,MSFH0,MSFH0
t00000091237,TRAIN/DR4/FPAF0/SA2,1.6073,1.9256,BA,FALSE,ae,aa,i65663,r,ae,g,FPAF0,F,DR4,B2,DR2,DR2,18.40384772,16.01174957,TRAIN/DR2/MMAG0/SX136,TRAIN/DR2/MMAG0/SA2,1.2325,1.9895,1.0075,1.5822,r,r,g,g,i109578,i109725,M,M,MMAG0,MMAG0
t00000105479,TRAIN/DR6/MTJU0/SI760,0.4475,0.721,BA,FALSE,ae,aa,i156382,k,ae,n,MTJU0,M,DR6,B3,DR7,DR7,21.70923381,24.78284861,TRAIN/DR7/MTML0/SX435,TRAIN/DR7/MTML0/SX75,1.8589,0.8334,1.5925,0.6206,k,k,n,n,i145924,i146038,M,M,MTML0,MTML0
t00000089910,TRAIN/DR2/MHRM0/SA2,1.4313,1.6894,AB,FALSE,ae,ah,i94235,r,ae,g,MHRM0,M,DR2,B1,DR8,DR8,15.77704186,17.40137571,TEST/DR8/MSLB0/SX383,TEST/DR8/MSLB0/SA2,2.4337,1.9475,2.1625,1.5561,r,r,g,g,i47688,i47796,M,M,MSLB0,MSLB0
t00000092931,TRAIN/DR5/MMAB1/SA2,1.6475,2.0651,AB,FALSE,ae,ah,i119384,r,ae,g,MMAB1,M,DR5,B2,DR1,DR1,20.91401615,14.41791084,TEST/DR1/MWBT0/SX383,TEST/DR1/MWBT0/SA2,3.5475,2.1152,3.1302,1.6919,r,r,g,g,i43317,i43355,M,M,MWBT0,MWBT0
t00000082910,TEST/DR2/FCMR0/SA2,2.1619,2.5613,AB,FALSE,ae,ah,i20693,r,ae,g,FCMR0,F,DR2,B3,DR8,DR8,18.11248394,18.34208178,TRAIN/DR8/FCEG0/SX78,TRAIN/DR8/FCEG0/SA2,1.1904,1.7803,1.0213,1.5012,r,r,g,g,i178846,i178923,F,F,FCEG0,FCEG0
t00000082998,TRAIN/DR8/FMBG0/SA2,1.6553,1.9425,BA,FALSE,ae,ah,i179231,r,ae,g,FMBG0,F,DR8,B1,DR8,DR8,18.67171781,17.70473825,TRAIN/DR8/FCEG0/SX78,TRAIN/DR8/FCEG0/SA2,1.1904,1.7803,1.0213,1.5012,r,r,g,g,i178846,i178923,F,F,FCEG0,FCEG0
t00000086372,TRAIN/DR2/MKDT0/SA2,1.5378,1.8788,BA,FALSE,ae,ah,i91672,r,ae,g,MKDT0,M,DR2,B2,DR2,DR2,16.04115896,13.28967214,TRAIN/DR2/MJDE0/SI463,TRAIN/DR2/MJDE0/SA2,1.8,2.6775,1.4025,2.1825,r,r,g,g,i94406,i94539,M,M,MJDE0,MJDE0
t00000085583,TRAIN/DR3/FDFB0/SA2,1.4203,1.7486,BA,FALSE,ae,ah,i80514,r,ae,g,FDFB0,F,DR3,B3,DR3,DR3,18.36901269,15.55274192,TRAIN/DR3/MKLS1/SI915,TRAIN/DR3/MKLS1/SA2,4.2038,2.0469,3.8324,1.6841,r,r,g,g,i90796,i90614,M,M,MKLS1,MKLS1
t00000106709,TRAIN/DR5/FLMK0/SA2,2.5712,2.9075,AB,FALSE,ae,iy,i118785,dh,ae,q,FLMK0,F,DR5,B1,DR7,DR7,25.45674926,14.77330524,TEST/DR7/FGWR0/SX228,TEST/DR7/FGWR0/SI2208,1.8794,2.2481,1.7363,2.0138,dh,dh,q,q,i33474,i33291,F,F,FGWR0,FGWR0
t00000051357,TRAIN/DR4/MJPM1/SA2,0.4225,0.7219,AB,FALSE,ae,iy,i56303,nx,ae,s,MJPM1,M,DR4,B2,DR5,DR5,19.67413837,13.17027935,TRAIN/DR5/MBGT0/SI1841,TRAIN/DR5/MBGT0/SA2,3.2769,0.6869,3.0417,0.3725,nx,nx,s,s,i131533,i131652,M,M,MBGT0,MBGT0
t00000093723,TRAIN/DR3/FSKC0/SA2,1.8058,2.1256,AB,FALSE,ae,iy,i85857,r,ae,g,FSKC0,F,DR3,B3,DR5,DR5,14.38537765,13.28455104,TRAIN/DR5/MTAT0/SI811,TRAIN/DR5/MTAT0/SA2,1.1122,1.765,0.8975,1.4308,r,r,g,g,i116152,i116140,M,M,MTAT0,MTAT0
t00000011609,TRAIN/DR2/MRJH0/SA2,2.0174,2.4288,BA,FALSE,ae,iy,i100371,dh,ae,tcl,MRJH0,M,DR2,B1,DR4,DR4,18.9899289,13.6390544,TRAIN/DR4/MJDC0/SI1161,TRAIN/DR4/MJDC0/SA2,0.4308,2.1514,0.2475,1.7963,dh,dh,tcl,tcl,i59100,i59207,M,M,MJDC0,MJDC0
t00000076985,TRAIN/DR5/MGES0/SA2,0.2321,0.4593,BA,FALSE,ae,iy,i116410,n,ae,s,MGES0,M,DR5,B2,DR4,DR4,23.50644566,12.31250446,TEST/DR4/MTEB0/SX413,TEST/DR4/MTEB0/SA2,0.7662,0.5544,0.445,0.295,n,n,s,s,i4038,i3932,M,M,MTEB0,MTEB0
t00000011342,TRAIN/DR7/FREH0/SX325,1.3354,1.5411,BA,FALSE,ae,iy,i142821,dh,ae,tcl,FREH0,F,DR7,B3,DR4,DR4,21.83929923,21.56107427,TRAIN/DR4/MJDC0/SI1161,TRAIN/DR4/MJDC0/SA2,0.4308,2.1514,0.2475,1.7963,dh,dh,tcl,tcl,i59100,i59207,M,M,MJDC0,MJDC0
t00000074840,TEST/DR2/FJRE0/SA1,0.2976,0.5041,AB,FALSE,ae,uh,i24198,hv,ae,dcl,FJRE0,F,DR2,B1,DR5,DR5,19.69540343,16.36075201,TRAIN/DR5/MWSH0/SI2266,TRAIN/DR5/MWSH0/SA1,0.9243,0.5681,0.7232,0.3472,hv,hv,dcl,dcl,i126664,i126711,M,M,MWSH0,MWSH0
t00000076117,TRAIN/DR6/FLAG0/SX294,1.0809,1.4138,AB,FALSE,ae,uh,i158168,r,ae,f,FLAG0,F,DR6,B2,DR2,DR2,17.63795892,15.65156122,TRAIN/DR2/MCTM0/SI1980,TRAIN/DR2/MCTM0/SX450,4.0415,3.0725,3.6629,2.7356,r,r,f,f,i112277,i112217,M,M,MCTM0,MCTM0
t00000075016,TEST/DR5/MDRB0/SI2109,1.6371,1.9375,AB,FALSE,ae,uh,i24593,hv,ae,dcl,MDRB0,M,DR5,B3,DR5,DR5,16.31419873,15.69501112,TRAIN/DR5/MWSH0/SI2266,TRAIN/DR5/MWSH0/SI2266,0.9243,1.36,0.7232,0.9243,hv,hv,dcl,dcl,i126664,i126667,M,M,MWSH0,MWSH0
t00000074991,TEST/DR2/MDBB0/SA1,0.42,0.6866,BA,FALSE,ae,uh,i22448,hv,ae,dcl,MDBB0,M,DR2,B1,DR5,DR5,17.28421402,15.0272703,TRAIN/DR5/MWSH0/SI2266,TRAIN/DR5/MWSH0/SA1,0.9243,0.5681,0.7232,0.3472,hv,hv,dcl,dcl,i126664,i126711,M,M,MWSH0,MWSH0
t00000075034,TEST/DR5/MFGK0/SA1,0.4075,0.6579,BA,FALSE,ae,uh,i29041,hv,ae,dcl,MFGK0,M,DR5,B2,DR5,DR5,14.29897508,12.67069446,TRAIN/DR5/MWSH0/SI2266,TRAIN/DR5/MWSH0/SA1,0.9243,0.5681,0.7232,0.3472,hv,hv,dcl,dcl,i126664,i126711,M,M,MWSH0,MWSH0
t00000074962,TRAIN/DR7/MBOM0/SA1,0.3358,0.57,BA,FALSE,ae,uh,i148558,hv,ae,dcl,MBOM0,M,DR7,B3,DR5,DR5,14.90382315,12.26246986,TRAIN/DR5/MWSH0/SI2266,TRAIN/DR5/MWSH0/SA1,0.9243,0.5681,0.7232,0.3472,hv,hv,dcl,dcl,i126664,i126711,M,M,MWSH0,MWSH0
t00000089319,TRAIN/DR7/MBML0/SA2,1.6025,1.9347,AB,FALSE,ae,uw,i152943,r,ae,g,MBML0,M,DR7,B1,DR1,DR1,21.44562239,20.63749575,TRAIN/DR1/FKFB0/SX438,TRAIN/DR1/FKFB0/SA2,4.3806,2.3363,4.0895,1.9282,r,r,g,g,i167505,i167472,F,F,FKFB0,FKFB0
t00000104098,TEST/DR5/MBPM0/SI1584,2.1713,2.4101,AB,FALSE,ae,uw,i30835,t,ae,s,MBPM0,M,DR5,B2,DR3,DR3,24.21298528,19.83501442,TEST/DR3/MLNT0/SI642,TEST/DR3/MLNT0/SX102,1.3028,1.0052,0.8041,0.5925,t,t,s,s,i16400,i16357,M,M,MLNT0,MLNT0
t00000089322,TRAIN/DR7/MBTH0/SA2,1.6325,1.9641,AB,FALSE,ae,uw,i139749,r,ae,g,MBTH0,M,DR7,B3,DR1,DR1,19.68578275,18.54170088,TRAIN/DR1/FKFB0/SX438,TRAIN/DR1/FKFB0/SA2,4.3806,2.3363,4.0895,1.9282,r,r,g,g,i167505,i167472,F,F,FKFB0,FKFB0
t00000089334,TRAIN/DR1/MCPM0/SA2,1.4201,1.7519,BA,FALSE,ae,uw,i176392,r,ae,g,MCPM0,M,DR1,B1,DR1,DR1,24.01839376,19.1185533,TRAIN/DR1/FKFB0/SX438,TRAIN/DR1/FKFB0/SA2,4.3806,2.3363,4.0895,1.9282,r,r,g,g,i167505,i167472,F,F,FKFB0,FKFB0
t00000089383,TRAIN/DR3/MDWM0/SA2,1.718,2.0987,BA,FALSE,ae,uw,i75220,r,ae,g,MDWM0,M,DR3,B2,DR1,DR1,24.24518749,21.22602011,TRAIN/DR1/FKFB0/SX438,TRAIN/DR1/FKFB0/SA2,4.3806,2.3363,4.0895,1.9282,r,r,g,g,i167505,i167472,F,F,FKFB0,FKFB0
t00000089519,TRAIN/DR2/MRAB0/SA2,1.4178,1.7415,BA,FALSE,ae,uw,i106936,r,ae,g,MRAB0,M,DR2,B3,DR1,DR1,20.12737181,19.03147816,TRAIN/DR1/FKFB0/SX438,TRAIN/DR1/FKFB0/SA2,4.3806,2.3363,4.0895,1.9282,r,r,g,g,i167505,i167472,F,F,FKFB0,FKFB0
t00000099273,TEST/DR4/MKCL0/SI1721,0.145,0.3075,AB,FALSE,ah,aa,i3438,k,ah,m,MKCL0,M,DR4,B1,DR6,DR6,22.3819342,22.60531057,TRAIN/DR6/FRJB0/SI1470,TRAIN/DR6/FRJB0/SX167,0.6806,2.2437,0.4308,2.0174,k,k,m,m,i164186,i164323,F,F,FRJB0,FRJB0
t00000097686,TRAIN/DR4/MSTF0/SX136,1.3625,1.6119,AB,FALSE,ah,aa,i60574,k,ah,m,MSTF0,M,DR4,B2,DR6,DR6,14.7195768,14.7276187,TEST/DR6/MRJS0/SX94,TEST/DR6/MRJS0/SI2074,1.1151,0.4475,0.8775,0.2525,k,k,m,m,i39801,i39868,M,M,MRJS0,MRJS0
t00000103680,TRAIN/DR7/MTPR0/SX340,1.7981,1.9622,AB,FALSE,ah,aa,i152361,k,ah,l,MTPR0,M,DR7,B3,DR5,DR5,19.38510111,22.7471862,TRAIN/DR5/MSEM1/SX180,TRAIN/DR5/MSEM1/SX90,1.201,1.8025,0.9325,1.6051,k,k,l,l,i115412,i115399,M,M,MSEM1,MSEM1
t00000098246,TEST/DR8/MDAW1/SI1453,2.2325,2.4675,BA,FALSE,ah,aa,i47527,k,ah,m,MDAW1,M,DR8,B1,DR8,DR8,15.54529252,18.45060705,TEST/DR8/MJTH0/SX36,TEST/DR8/MJTH0/SX306,1.0704,1.4969,0.8275,1.2725,k,k,m,m,i47946,i48103,M,M,MJTH0,MJTH0
t00000096875,TEST/DR8/MJTH0/SX306,1.2725,1.4969,BA,FALSE,ah,aa,i48103,k,ah,m,MJTH0,M,DR8,B2,DR4,DR4,19.51318696,17.90263218,TRAIN/DR4/MMDM0/SX51,TRAIN/DR4/MMDM0/SX141,2.0625,2.5125,1.8275,2.2125,k,k,m,m,i48847,i48890,M,M,MMDM0,MMDM0
t00000074657,TRAIN/DR4/MSMC0/SI509,1.8525,1.9475,BA,FALSE,ah,aa,i68611,b,ah,dx,MSMC0,M,DR4,B3,DR1,DR1,19.51068942,15.16757301,TRAIN/DR1/MWAR0/SI1675,TRAIN/DR1/MWAR0/SI1045,0.5136,3.4722,0.2,3.36,b,b,dx,dx,i169695,i169965,M,M,MWAR0,MWAR0
t00000001209,TEST/DR8/MSLB0/SX113,0.1514,0.389,AB,FALSE,ah,ae,i47832,m,ah,s,MSLB0,M,DR8,B1,DR3,DR3,21.7671852,18.80172085,TRAIN/DR3/FALK0/SX96,TRAIN/DR3/FALK0/SI1086,0.3968,1.9325,0.1225,1.6825,m,m,s,s,i74025,i74192,F,F,FALK0,FALK0
t00000094110,TEST/DR1/MWBT0/SX383,3.1302,3.5475,AB,FALSE,ah,ae,i43317,r,ah,g,MWBT0,M,DR1,B2,DR1,DR1,17.45283478,20.6253176,TRAIN/DR1/FKFB0/SA2,TRAIN/DR1/FKFB0/SX78,2.3363,1.48,1.9282,1.2644,r,r,g,g,i167472,i167354,F,F,FKFB0,FKFB0
t00000014382,TEST/DR4/MLLL0/SI1363,1.7775,2.1044,AB,FALSE,ah,ae,i2724,s,ah,m,MLLL0,M,DR4,B3,DR7,DR7,14.68947653,17.02467558,TRAIN/DR7/MRMH0/SI2281,TRAIN/DR7/MRMH0/SI1349,0.4336,0.9725,0.1567,0.7415,s,s,m,m,i138162,i138195,M,M,MRMH0,MRMH0
t00000094164,TRAIN/DR3/MRTC0/SI828,0.1906,0.3756,BA,FALSE,ah,ae,i71188,r,ah,g,MRTC0,M,DR3,B1,DR3,DR3,25.25370787,22.22927272,TEST/DR3/MCTW0/SA2,TEST/DR3/MCTW0/SX383,1.8281,2.9625,1.4621,2.5763,r,r,g,g,i10594,i10551,M,M,MCTW0,MCTW0
t00000013853,TRAIN/DR8/MEJS0/SI1240,1.4856,1.7232,BA,FALSE,ah,ae,i178446,m,ah,n,MEJS0,M,DR8,B2,DR6,DR6,16.14192925,20.7494421,TEST/DR6/FLNH0/SI941,TEST/DR6/FLNH0/SX134,2.7575,2.0757,2.4425,1.8825,m,m,n,n,i40147,i40058,F,F,FLNH0,FLNH0
t00000087088,TRAIN/DR3/MRTC0/SI828,0.1906,0.3756,BA,FALSE,ah,ae,i71188,r,ah,g,MRTC0,M,DR3,B3,DR8,DR8,18.31232408,17.93675294,TRAIN/DR8/FCEG0/SA2,TRAIN/DR8/FCEG0/SX78,1.7803,1.1904,1.5012,1.0213,r,r,g,g,i178923,i178846,F,F,FCEG0,FCEG0
