tripletid,file_TGT,onset_TGT,offset_TGT,file_OTH,onset_OTH,offset_OTH,file_X,onset_X,offset_X,presentation_order,Practice,phoneitem_id_TGT,phone1_TGT,Target phone,phone3_TGT,talker_TGT,sex_TGT,dialect_TGT,phoneitem_id_OTH,phone1_OTH,Other phone,phone3_OTH,talker_OTH,sex_OTH,dialect_OTH,phoneitem_id_X,phone1_X,phone2_X,phone3_X,talker_X,sex_X,dialect_X,Block
t00000106709,TEST/DR7/FGWR0/SI2208,2.0138,2.2481,TEST/DR7/FGWR0/SX228,1.7363,1.8794,TRAIN/DR5/FLMK0/SA2,2.5712,2.9075,AB,FALSE,i33291,dh,ae,q,FGWR0,F,DR7,i33474,dh,iy,q,FGWR0,F,DR7,i118785,dh,ae,q,FLMK0,F,DR5,B1
t00000051357,TRAIN/DR5/MBGT0/SA2,0.3725,0.6869,TRAIN/DR5/MBGT0/SI1841,3.0417,3.2769,TRAIN/DR4/MJPM1/SA2,0.4225,0.7219,AB,FALSE,i131652,nx,ae,s,MBGT0,M,DR5,i131533,nx,iy,s,MBGT0,M,DR5,i56303,nx,ae,s,MJPM1,M,DR4,B2
t00000093723,TRAIN/DR5/MTAT0/SA2,1.4308,1.765,TRAIN/DR5/MTAT0/SI811,0.8975,1.1122,TRAIN/DR3/FSKC0/SA2,1.8058,2.1256,AB,FALSE,i116140,r,ae,g,MTAT0,M,DR5,i116152,r,iy,g,MTAT0,M,DR5,i85857,r,ae,g,FSKC0,F,DR3,B3
t00000011609,TRAIN/DR4/MJDC0/SA2,1.7963,2.1514,TRAIN/DR4/MJDC0/SI1161,0.2475,0.4308,TRAIN/DR2/MRJH0/SA2,2.0174,2.4288,BA,FALSE,i59207,dh,ae,tcl,MJDC0,M,DR4,i59100,dh,iy,tcl,MJDC0,M,DR4,i100371,dh,ae,tcl,MRJH0,M,DR2,B1
t00000076985,TEST/DR4/MTEB0/SA2,0.295,0.5544,TEST/DR4/MTEB0/SX413,0.445,0.7662,TRAIN/DR5/MGES0/SA2,0.2321,0.4593,BA,FALSE,i3932,n,ae,s,MTEB0,M,DR4,i4038,n,iy,s,MTEB0,M,DR4,i116410,n,ae,s,MGES0,M,DR5,B2
t00000011342,TRAIN/DR4/MJDC0/SA2,1.7963,2.1514,TRAIN/DR4/MJDC0/SI1161,0.2475,0.4308,TRAIN/DR7/FREH0/SX325,1.3354,1.5411,BA,FALSE,i59207,dh,ae,tcl,MJDC0,M,DR4,i59100,dh,iy,tcl,MJDC0,M,DR4,i142821,dh,ae,tcl,FREH0,F,DR7,B3
t00000074840,TRAIN/DR5/MWSH0/SA1,0.3472,0.5681,TRAIN/DR5/MWSH0/SI2266,0.7232,0.9243,TEST/DR2/FJRE0/SA1,0.2976,0.5041,AB,FALSE,i126711,hv,ae,dcl,MWSH0,M,DR5,i126664,hv,uh,dcl,MWSH0,M,DR5,i24198,hv,ae,dcl,FJRE0,F,DR2,B1
t00000076117,TRAIN/DR2/MCTM0/SX450,2.7356,3.0725,TRAIN/DR2/MCTM0/SI1980,3.6629,4.0415,TRAIN/DR6/FLAG0/SX294,1.0809,1.4138,AB,FALSE,i112217,r,ae,f,MCTM0,M,DR2,i112277,r,uh,f,MCTM0,M,DR2,i158168,r,ae,f,FLAG0,F,DR6,B2
t00000075016,TRAIN/DR5/MWSH0/SI2266,0.9243,1.36,TRAIN/DR5/MWSH0/SI2266,0.7232,0.9243,TEST/DR5/MDRB0/SI2109,1.6371,1.9375,AB,FALSE,i126667,hv,ae,dcl,MWSH0,M,DR5,i126664,hv,uh,dcl,MWSH0,M,DR5,i24593,hv,ae,dcl,MDRB0,M,DR5,B3
t00000074991,TRAIN/DR5/MWSH0/SA1,0.3472,0.5681,TRAIN/DR5/MWSH0/SI2266,0.7232,0.9243,TEST/DR2/MDBB0/SA1,0.42,0.6866,BA,FALSE,i126711,hv,ae,dcl,MWSH0,M,DR5,i126664,hv,uh,dcl,MWSH0,M,DR5,i22448,hv,ae,dcl,MDBB0,M,DR2,B1
t00000075034,TRAIN/DR5/MWSH0/SA1,0.3472,0.5681,TRAIN/DR5/MWSH0/SI2266,0.7232,0.9243,TEST/DR5/MFGK0/SA1,0.4075,0.6579,BA,FALSE,i126711,hv,ae,dcl,MWSH0,M,DR5,i126664,hv,uh,dcl,MWSH0,M,DR5,i29041,hv,ae,dcl,MFGK0,M,DR5,B2
t00000074962,TRAIN/DR5/MWSH0/SA1,0.3472,0.5681,TRAIN/DR5/MWSH0/SI2266,0.7232,0.9243,TRAIN/DR7/MBOM0/SA1,0.3358,0.57,BA,FALSE,i126711,hv,ae,dcl,MWSH0,M,DR5,i126664,hv,uh,dcl,MWSH0,M,DR5,i148558,hv,ae,dcl,MBOM0,M,DR7,B3
t00000089319,TRAIN/DR1/FKFB0/SA2,1.9282,2.3363,TRAIN/DR1/FKFB0/SX438,4.0895,4.3806,TRAIN/DR7/MBML0/SA2,1.6025,1.9347,AB,FALSE,i167472,r,ae,g,FKFB0,F,DR1,i167505,r,uw,g,FKFB0,F,DR1,i152943,r,ae,g,MBML0,M,DR7,B1
t00000104098,TEST/DR3/MLNT0/SX102,0.5925,1.0052,TEST/DR3/MLNT0/SI642,0.8041,1.3028,TEST/DR5/MBPM0/SI1584,2.1713,2.4101,AB,FALSE,i16357,t,ae,s,MLNT0,M,DR3,i16400,t,uw,s,MLNT0,M,DR3,i30835,t,ae,s,MBPM0,M,DR5,B2
t00000089322,TRAIN/DR1/FKFB0/SA2,1.9282,2.3363,TRAIN/DR1/FKFB0/SX438,4.0895,4.3806,TRAIN/DR7/MBTH0/SA2,1.6325,1.9641,AB,FALSE,i167472,r,ae,g,FKFB0,F,DR1,i167505,r,uw,g,FKFB0,F,DR1,i139749,r,ae,g,MBTH0,M,DR7,B3
t00000089334,TRAIN/DR1/FKFB0/SA2,1.9282,2.3363,TRAIN/DR1/FKFB0/SX438,4.0895,4.3806,TRAIN/DR1/MCPM0/SA2,1.4201,1.7519,BA,FALSE,i167472,r,ae,g,FKFB0,F,DR1,i167505,r,uw,g,FKFB0,F,DR1,i176392,r,ae,g,MCPM0,M,DR1,B1
t00000089383,TRAIN/DR1/FKFB0/SA2,1.9282,2.3363,TRAIN/DR1/FKFB0/SX438,4.0895,4.3806,TRAIN/DR3/MDWM0/SA2,1.718,2.0987,BA,FALSE,i167472,r,ae,g,FKFB0,F,DR1,i167505,r,uw,g,FKFB0,F,DR1,i75220,r,ae,g,MDWM0,M,DR3,B2
t00000089519,TRAIN/DR1/FKFB0/SA2,1.9282,2.3363,TRAIN/DR1/FKFB0/SX438,4.0895,4.3806,TRAIN/DR2/MRAB0/SA2,1.4178,1.7415,BA,FALSE,i167472,r,ae,g,FKFB0,F,DR1,i167505,r,uw,g,FKFB0,F,DR1,i106936,r,ae,g,MRAB0,M,DR2,B3
t00000099273,TRAIN/DR6/FRJB0/SX167,2.0174,2.2437,TRAIN/DR6/FRJB0/SI1470,0.4308,0.6806,TEST/DR4/MKCL0/SI1721,0.145,0.3075,AB,FALSE,i164323,k,ah,m,FRJB0,F,DR6,i164186,k,aa,m,FRJB0,F,DR6,i3438,k,ah,m,MKCL0,M,DR4,B1
t00000097686,TEST/DR6/MRJS0/SI2074,0.2525,0.4475,TEST/DR6/MRJS0/SX94,0.8775,1.1151,TRAIN/DR4/MSTF0/SX136,1.3625,1.6119,AB,FALSE,i39868,k,ah,m,MRJS0,M,DR6,i39801,k,aa,m,MRJS0,M,DR6,i60574,k,ah,m,MSTF0,M,DR4,B2
t00000103680,TRAIN/DR5/MSEM1/SX90,1.6051,1.8025,TRAIN/DR5/MSEM1/SX180,0.9325,1.201,TRAIN/DR7/MTPR0/SX340,1.7981,1.9622,AB,FALSE,i115399,k,ah,l,MSEM1,M,DR5,i115412,k,aa,l,MSEM1,M,DR5,i152361,k,ah,l,MTPR0,M,DR7,B3
t00000098246,TEST/DR8/MJTH0/SX306,1.2725,1.4969,TEST/DR8/MJTH0/SX36,0.8275,1.0704,TEST/DR8/MDAW1/SI1453,2.2325,2.4675,BA,FALSE,i48103,k,ah,m,MJTH0,M,DR8,i47946,k,aa,m,MJTH0,M,DR8,i47527,k,ah,m,MDAW1,M,DR8,B1
t00000096875,TRAIN/DR4/MMDM0/SX141,2.2125,2.5125,TRAIN/DR4/MMDM0/SX51,1.8275,2.0625,TEST/DR8/MJTH0/SX306,1.2725,1.4969,BA,FALSE,i48890,k,ah,m,MMDM0,M,DR4,i48847,k,aa,m,MMDM0,M,DR4,i48103,k,ah,m,MJTH0,M,DR8,B2
t00000074657,TRAIN/DR1/MWAR0/SI1045,3.36,3.4722,TRAIN/DR1/MWAR0/SI1675,0.2,0.5136,TRAIN/DR4/MSMC0/SI509,1.8525,1.9475,BA,FALSE,i169965,b,ah,dx,MWAR0,M,DR1,i169695,b,aa,dx,MWAR0,M,DR1,i68611,b,ah,dx,MSMC0,M,DR4,B3
t00000001209,TRAIN/DR3/FALK0/SI1086,1.6825,1.9325,TRAIN/DR3/FALK0/SX96,0.1225,0.3968,TEST/DR8/MSLB0/SX113,0.1514,0.389,AB,FALSE,i74192,m,ah,s,FALK0,F,DR3,i74025,m,ae,s,FALK0,F,DR3,i47832,m,ah,s,MSLB0,M,DR8,B1
t00000094110,TRAIN/DR1/FKFB0/SX78,1.2644,1.48,TRAIN/DR1/FKFB0/SA2,1.9282,2.3363,TEST/DR1/MWBT0/SX383,3.1302,3.5475,AB,FALSE,i167354,r,ah,g,FKFB0,F,DR1,i167472,r,ae,g,FKFB0,F,DR1,i43317,r,ah,g,MWBT0,M,DR1,B2
t00000014382,TRAIN/DR7/MRMH0/SI1349,0.7415,0.9725,TRAIN/DR7/MRMH0/SI2281,0.1567,0.4336,TEST/DR4/MLLL0/SI1363,1.7775,2.1044,AB,FALSE,i138195,s,ah,m,MRMH0,M,DR7,i138162,s,ae,m,MRMH0,M,DR7,i2724,s,ah,m,MLLL0,M,DR4,B3
t00000094164,TEST/DR3/MCTW0/SX383,2.5763,2.9625,TEST/DR3/MCTW0/SA2,1.4621,1.8281,TRAIN/DR3/MRTC0/SI828,0.1906,0.3756,BA,FALSE,i10551,r,ah,g,MCTW0,M,DR3,i10594,r,ae,g,MCTW0,M,DR3,i71188,r,ah,g,MRTC0,M,DR3,B1
t00000013853,TEST/DR6/FLNH0/SX134,1.8825,2.0757,TEST/DR6/FLNH0/SI941,2.4425,2.7575,TRAIN/DR8/MEJS0/SI1240,1.4856,1.7232,BA,FALSE,i40058,m,ah,n,FLNH0,F,DR6,i40147,m,ae,n,FLNH0,F,DR6,i178446,m,ah,n,MEJS0,M,DR8,B2
t00000087088,TRAIN/DR8/FCEG0/SX78,1.0213,1.1904,TRAIN/DR8/FCEG0/SA2,1.5012,1.7803,TRAIN/DR3/MRTC0/SI828,0.1906,0.3756,BA,FALSE,i178846,r,ah,g,FCEG0,F,DR8,i178923,r,ae,g,FCEG0,F,DR8,i71188,r,ah,g,MRTC0,M,DR3,B3
t00000050383,TRAIN/DR5/MEWM0/SX88,2.3479,2.4554,TRAIN/DR5/MEWM0/SX178,2.2454,2.4623,TEST/DR3/MJMP0/SI1791,2.1827,2.44,AB,FALSE,i124294,w,ah,n,MEWM0,M,DR5,i124179,w,iy,n,MEWM0,M,DR5,i9706,w,ah,n,MJMP0,M,DR3,B1
t00000022515,TRAIN/DR2/MRJT0/SX58,1.8016,1.9921,TRAIN/DR2/MRJT0/SI868,3.2585,3.48,TRAIN/DR3/MMJB1/SX58,1.6494,1.8302,AB,FALSE,i94835,r,ah,s,MRJT0,M,DR2,i94741,r,iy,s,MRJT0,M,DR2,i81342,r,ah,s,MMJB1,M,DR3,B2
t00000015274,TRAIN/DR1/MRSO0/SX129,0.483,0.8056,TRAIN/DR1/MRSO0/SX219,2.5381,2.7268,TRAIN/DR6/MBMA1/SI2214,1.6473,1.8144,AB,FALSE,i176764,r,ah,k,MRSO0,M,DR1,i176567,r,iy,k,MRSO0,M,DR1,i163871,r,ah,k,MBMA1,M,DR6,B3
t00000096470,TRAIN/DR7/MPAR0/SX136,1.1914,1.3776,TRAIN/DR7/MPAR0/SI2206,0.5992,0.8024,TEST/DR3/MTAA0/SX295,0.5275,0.7681,BA,FALSE,i148695,k,ah,m,MPAR0,M,DR7,i148935,k,iy,m,MPAR0,M,DR7,i12713,k,ah,m,MTAA0,M,DR3,B1
t00000074468,TRAIN/DR8/MKRG0/SX411,0.1331,0.2361,TRAIN/DR8/MKRG0/SX31,1.2306,1.4222,TEST/DR5/FHEW0/SI763,2.3222,2.5778,BA,FALSE,i182966,b,ah,dx,MKRG0,M,DR8,i182822,b,iy,dx,MKRG0,M,DR8,i31577,b,ah,dx,FHEW0,F,DR5,B2
