"","Var1","Var2","Phone_NOTENG","Phone_ENG","Econ","Loc","Glob","acoustic_distance","response_var"
"50","subject_20","trial_2","ɽ","ɾ",0.0770609319,0.1326164875,0.1553166069,0.24729505138738,1
"51","subject_21","trial_2","ʈ","t",0.3817204301,0.1827956989,-0.08870967742,0.139983112483201,1
"52","subject_22","trial_2","ʈ","d",0.3817204301,0.1827956989,-0.08870967742,-0.26240255792794,0
"53","subject_23","trial_2","ɣ","g",0.2367172676,0.1385199241,0.1266603416,0.07222050747409,0
"54","subject_24","trial_2","ɣ","k",0.2367172676,0.1385199241,0.1266603416,-0.53831970161309,1
"55","subject_25","trial_2","ɣ","h",0.2367172676,0.1385199241,0.1266603416,-0.3892194104869,0
"56","subject_26","trial_2","x","k",0.295436664,0.1931348222,-0.03618134263,-0.36795391487243,0
"57","subject_27","trial_2","x","h",0.295436664,0.1931348222,-0.03618134263,0.28865129200255,1
"58","subject_28","trial_2","x","s",0.295436664,0.1931348222,-0.03618134263,-0.87161196819214,0
"59","subject_29","trial_2","x","ʃ",0.295436664,0.1931348222,-0.03618134263,-0.6083012001128,1
"60","subject_30","trial_2","bʰ","b",0.01668520578,0.1062291435,0.1683644595,0.0618853178926599,1
"61","subject_1","trial_3","bʰ","d",0.01668520578,0.1062291435,0.1683644595,-0.66428426160508,0
"62","subject_2","trial_3","bʰ","g",0.01668520578,0.1062291435,0.1683644595,-0.65362190141363,0
"63","subject_3","trial_3","bʰ","p",0.01668520578,0.1062291435,0.1683644595,-0.219837265703499,1
"64","subject_4","trial_3","bʰ","t",0.01668520578,0.1062291435,0.1683644595,-0.85640986837544,1
"65","subject_5","trial_3","bʰ","k",0.01668520578,0.1062291435,0.1683644595,-0.85640986837544,1
"66","subject_6","trial_3","bʰ","v",0.01668520578,0.1062291435,0.1683644595,-0.324695590643819,0
"67","subject_7","trial_3","d̪ʰ","b",0.2001093494,0.1550027337,0.2191323693,-0.53924567926845,1
"68","subject_8","trial_3","d̪ʰ","d",0.2001093494,0.1550027337,0.2191323693,0.30164056720466,0
"69","subject_9","trial_3","d̪ʰ","g",0.2001093494,0.1550027337,0.2191323693,-0.53513664966592,0
"70","subject_10","trial_3","d̪ʰ","p",0.2001093494,0.1550027337,0.2191323693,-0.91295934236769,0
"71","subject_11","trial_3","d̪ʰ","t",0.2001093494,0.1550027337,0.2191323693,-0.11503790598643,1
"72","subject_12","trial_3","d̪ʰ","k",0.2001093494,0.1550027337,0.2191323693,-0.72666523095823,1
"73","subject_13","trial_3","d̪ʰ","ð",0.2001093494,0.1550027337,0.2191323693,-0.27898720356059,1
"74","subject_14","trial_3","ɖ","b",0.3817204301,0.1693548387,0.03225806452,-0.47826465691113,0
"75","subject_15","trial_3","ɖ","d",0.3817204301,0.1693548387,0.03225806452,0.17303232959971,1
"76","subject_16","trial_3","ɖ","g",0.3817204301,0.1693548387,0.03225806452,-0.6205589829249,1
"77","subject_17","trial_3","ɖ","p",0.3817204301,0.1693548387,0.03225806452,-0.85600230262639,0
"78","subject_18","trial_3","ɖ","t",0.3817204301,0.1693548387,0.03225806452,-0.27667604381396,1
"79","subject_19","trial_3","ɖ","k",0.3817204301,0.1693548387,0.03225806452,-0.91615826003434,1
"80","subject_20","trial_3","ɖ","ð",0.3817204301,0.1693548387,0.03225806452,-0.58853296579063,0
"81","subject_21","trial_3","ɖʰ","b",0.04786680541,0.08532778356,0.2474881015,-0.68808191514267,1
"82","subject_22","trial_3","ɖʰ","d",0.04786680541,0.08532778356,0.2474881015,0.20167511999017,0
"83","subject_23","trial_3","ɖʰ","g",0.04786680541,0.08532778356,0.2474881015,-0.54541839393655,0
"84","subject_24","trial_3","ɖʰ","p",0.04786680541,0.08532778356,0.2474881015,-0.834715444404,1
"85","subject_25","trial_3","ɖʰ","t",0.04786680541,0.08532778356,0.2474881015,-0.3368152204949,1
"86","subject_26","trial_3","ɖʰ","k",0.04786680541,0.08532778356,0.2474881015,-0.770926331976,1
"87","subject_27","trial_3","ɖʰ","ð",0.04786680541,0.08532778356,0.2474881015,-0.11512523452443,1
"88","subject_28","trial_3","dʒʰ","d",0.01668520578,0.1062291435,0.1239388795,-0.433702190605939,1
"89","subject_29","trial_3","dʒʰ","z",0.01668520578,0.1062291435,0.1239388795,-0.67116255861138,1
"90","subject_30","trial_3","dʒʰ","t",0.01668520578,0.1062291435,0.1239388795,-0.76136525128921,0
"91","subject_1","trial_4","dʒʰ","s",0.01668520578,0.1062291435,0.1239388795,-0.7233715363913,0
"92","subject_2","trial_4","dʒʰ","d͡ʒ",0.01668520578,0.1062291435,0.1239388795,0.24729505138738,1
"93","subject_3","trial_4","dʒʰ","t͡ʃ",0.01668520578,0.1062291435,0.1239388795,-0.37762794062756,0
"94","subject_4","trial_4","ɡʰ","b",0.01668520578,0.1062291435,0.1516694963,-0.44747281090639,1
"95","subject_5","trial_4","ɡʰ","d",0.01668520578,0.1062291435,0.1516694963,-0.45203414309149,1
"96","subject_6","trial_4","ɡʰ","g",0.01668520578,0.1062291435,0.1516694963,0.20167511999017,0
"97","subject_7","trial_4","ɡʰ","p",0.01668520578,0.1062291435,0.1516694963,-0.78039481232873,0
"98","subject_8","trial_4","ɡʰ","t",0.01668520578,0.1062291435,0.1516694963,-0.96652040763977,0
"99","subject_9","trial_4","ɡʰ","k",0.01668520578,0.1062291435,0.1516694963,-0.0721818889485899,1
"100","subject_10","trial_4","ɳ","n",0.3817204301,0.125,-0.07661290323,0.54887734059071,1
"101","subject_11","trial_4","ɳ","j",0.3817204301,0.125,-0.07661290323,0.24445951631444,0
"102","subject_12","trial_4","ɽ","b",0.0770609319,0.1326164875,0.1553166069,-1.61453638146467,1
"103","subject_13","trial_4","ɽ","d",0.0770609319,0.1326164875,0.1553166069,0.12733145914267,1
"104","subject_14","trial_4","ɽ","g",0.0770609319,0.1326164875,0.1553166069,-0.53831970161309,1
"105","subject_15","trial_4","ɽ","p",0.0770609319,0.1326164875,0.1553166069,-1.11250819479602,0
"106","subject_16","trial_4","ɽ","t",0.0770609319,0.1326164875,0.1553166069,-0.0971209008228699,0
"107","subject_17","trial_4","ɽ","k",0.0770609319,0.1326164875,0.1553166069,-1.78989514613954,1
"108","subject_18","trial_4","ɽ","ð",0.0770609319,0.1326164875,0.1553166069,-0.44747281090639,1
"109","subject_19","trial_4","ɽ","ɾ",0.0770609319,0.1326164875,0.1553166069,0.24729505138738,1
"110","subject_20","trial_4","ʈ","t",0.3817204301,0.1827956989,-0.08870967742,0.139983112483201,1
"111","subject_21","trial_4","ʈ","d",0.3817204301,0.1827956989,-0.08870967742,-0.26240255792794,1
"112","subject_22","trial_4","ɣ","g",0.2367172676,0.1385199241,0.1266603416,0.07222050747409,1
"113","subject_23","trial_4","ɣ","k",0.2367172676,0.1385199241,0.1266603416,-0.53831970161309,1
"114","subject_24","trial_4","ɣ","h",0.2367172676,0.1385199241,0.1266603416,-0.3892194104869,0
"115","subject_25","trial_4","x","k",0.295436664,0.1931348222,-0.03618134263,-0.36795391487243,0
"116","subject_26","trial_4","x","h",0.295436664,0.1931348222,-0.03618134263,0.28865129200255,1
"117","subject_27","trial_4","x","s",0.295436664,0.1931348222,-0.03618134263,-0.87161196819214,1
"118","subject_28","trial_4","x","ʃ",0.295436664,0.1931348222,-0.03618134263,-0.6083012001128,0
"119","subject_29","trial_4","bʰ","b",0.01668520578,0.1062291435,0.1683644595,0.0618853178926599,1
"120","subject_30","trial_4","bʰ","d",0.01668520578,0.1062291435,0.1683644595,-0.66428426160508,0
"121","subject_1","trial_5","bʰ","g",0.01668520578,0.1062291435,0.1683644595,-0.65362190141363,1
"122","subject_2","trial_5","bʰ","p",0.01668520578,0.1062291435,0.1683644595,-0.219837265703499,1
"123","subject_3","trial_5","bʰ","t",0.01668520578,0.1062291435,0.1683644595,-0.85640986837544,0
"124","subject_4","trial_5","bʰ","k",0.01668520578,0.1062291435,0.1683644595,-0.85640986837544,1
"125","subject_5","trial_5","bʰ","v",0.01668520578,0.1062291435,0.1683644595,-0.324695590643819,0
"126","subject_6","trial_5","d̪ʰ","b",0.2001093494,0.1550027337,0.2191323693,-0.53924567926845,0
"127","subject_7","trial_5","d̪ʰ","d",0.2001093494,0.1550027337,0.2191323693,0.30164056720466,1
"128","subject_8","trial_5","d̪ʰ","g",0.2001093494,0.1550027337,0.2191323693,-0.53513664966592,1
"129","subject_9","trial_5","d̪ʰ","p",0.2001093494,0.1550027337,0.2191323693,-0.91295934236769,0
"130","subject_10","trial_5","d̪ʰ","t",0.2001093494,0.1550027337,0.2191323693,-0.11503790598643,0
"131","subject_11","trial_5","d̪ʰ","k",0.2001093494,0.1550027337,0.2191323693,-0.72666523095823,1
"132","subject_12","trial_5","d̪ʰ","ð",0.2001093494,0.1550027337,0.2191323693,-0.27898720356059,0
"133","subject_13","trial_5","ɖ","b",0.3817204301,0.1693548387,0.03225806452,-0.47826465691113,1
"134","subject_14","trial_5","ɖ","d",0.3817204301,0.1693548387,0.03225806452,0.17303232959971,0
"135","subject_15","trial_5","ɖ","g",0.3817204301,0.1693548387,0.03225806452,-0.6205589829249,1
"136","subject_16","trial_5","ɖ","p",0.3817204301,0.1693548387,0.03225806452,-0.85600230262639,0
"137","subject_17","trial_5","ɖ","t",0.3817204301,0.1693548387,0.03225806452,-0.27667604381396,1
"138","subject_18","trial_5","ɖ","k",0.3817204301,0.1693548387,0.03225806452,-0.91615826003434,1
"139","subject_19","trial_5","ɖ","ð",0.3817204301,0.1693548387,0.03225806452,-0.58853296579063,0
"140","subject_20","trial_5","ɖʰ","b",0.04786680541,0.08532778356,0.2474881015,-0.68808191514267,0
"141","subject_21","trial_5","ɖʰ","d",0.04786680541,0.08532778356,0.2474881015,0.20167511999017,0
"142","subject_22","trial_5","ɖʰ","g",0.04786680541,0.08532778356,0.2474881015,-0.54541839393655,1
"143","subject_23","trial_5","ɖʰ","p",0.04786680541,0.08532778356,0.2474881015,-0.834715444404,1
"144","subject_24","trial_5","ɖʰ","t",0.04786680541,0.08532778356,0.2474881015,-0.3368152204949,0
"145","subject_25","trial_5","ɖʰ","k",0.04786680541,0.08532778356,0.2474881015,-0.770926331976,1
"146","subject_26","trial_5","ɖʰ","ð",0.04786680541,0.08532778356,0.2474881015,-0.11512523452443,1
"147","subject_27","trial_5","dʒʰ","d",0.01668520578,0.1062291435,0.1239388795,-0.433702190605939,1
"148","subject_28","trial_5","dʒʰ","z",0.01668520578,0.1062291435,0.1239388795,-0.67116255861138,0
"149","subject_29","trial_5","dʒʰ","t",0.01668520578,0.1062291435,0.1239388795,-0.76136525128921,0
"150","subject_30","trial_5","dʒʰ","s",0.01668520578,0.1062291435,0.1239388795,-0.7233715363913,0
"151","subject_1","trial_6","dʒʰ","d͡ʒ",0.01668520578,0.1062291435,0.1239388795,0.24729505138738,0
"152","subject_2","trial_6","dʒʰ","t͡ʃ",0.01668520578,0.1062291435,0.1239388795,-0.37762794062756,1
"153","subject_3","trial_6","ɡʰ","b",0.01668520578,0.1062291435,0.1516694963,-0.44747281090639,1
"154","subject_4","trial_6","ɡʰ","d",0.01668520578,0.1062291435,0.1516694963,-0.45203414309149,0
"155","subject_5","trial_6","ɡʰ","g",0.01668520578,0.1062291435,0.1516694963,0.20167511999017,1
"156","subject_6","trial_6","ɡʰ","p",0.01668520578,0.1062291435,0.1516694963,-0.78039481232873,1
"157","subject_7","trial_6","ɡʰ","t",0.01668520578,0.1062291435,0.1516694963,-0.96652040763977,1
"158","subject_8","trial_6","ɡʰ","k",0.01668520578,0.1062291435,0.1516694963,-0.0721818889485899,1
"159","subject_9","trial_6","ɳ","n",0.3817204301,0.125,-0.07661290323,0.54887734059071,0
"160","subject_10","trial_6","ɳ","j",0.3817204301,0.125,-0.07661290323,0.24445951631444,0
"161","subject_11","trial_6","ɽ","b",0.0770609319,0.1326164875,0.1553166069,-1.61453638146467,1
"162","subject_12","trial_6","ɽ","d",0.0770609319,0.1326164875,0.1553166069,0.12733145914267,1
"163","subject_13","trial_6","ɽ","g",0.0770609319,0.1326164875,0.1553166069,-0.53831970161309,1
"164","subject_14","trial_6","ɽ","p",0.0770609319,0.1326164875,0.1553166069,-1.11250819479602,1
"165","subject_15","trial_6","ɽ","t",0.0770609319,0.1326164875,0.1553166069,-0.0971209008228699,1
"166","subject_16","trial_6","ɽ","k",0.0770609319,0.1326164875,0.1553166069,-1.78989514613954,1
"167","subject_17","trial_6","ɽ","ð",0.0770609319,0.1326164875,0.1553166069,-0.44747281090639,1
"168","subject_18","trial_6","ɽ","ɾ",0.0770609319,0.1326164875,0.1553166069,0.24729505138738,1
"169","subject_19","trial_6","ʈ","t",0.3817204301,0.1827956989,-0.08870967742,0.139983112483201,1
"170","subject_20","trial_6","ʈ","d",0.3817204301,0.1827956989,-0.08870967742,-0.26240255792794,0
"171","subject_21","trial_6","ɣ","g",0.2367172676,0.1385199241,0.1266603416,0.07222050747409,0
"172","subject_22","trial_6","ɣ","k",0.2367172676,0.1385199241,0.1266603416,-0.53831970161309,0
"173","subject_23","trial_6","ɣ","h",0.2367172676,0.1385199241,0.1266603416,-0.3892194104869,1
"174","subject_24","trial_6","x","k",0.295436664,0.1931348222,-0.03618134263,-0.36795391487243,0
"175","subject_25","trial_6","x","h",0.295436664,0.1931348222,-0.03618134263,0.28865129200255,1
"176","subject_26","trial_6","x","s",0.295436664,0.1931348222,-0.03618134263,-0.87161196819214,1
"177","subject_27","trial_6","x","ʃ",0.295436664,0.1931348222,-0.03618134263,-0.6083012001128,0
"178","subject_28","trial_6","bʰ","b",0.01668520578,0.1062291435,0.1683644595,0.0618853178926599,1
"179","subject_29","trial_6","bʰ","d",0.01668520578,0.1062291435,0.1683644595,-0.66428426160508,1
"180","subject_30","trial_6","bʰ","g",0.01668520578,0.1062291435,0.1683644595,-0.65362190141363,1
"181","subject_1","trial_7","bʰ","p",0.01668520578,0.1062291435,0.1683644595,-0.219837265703499,1
"182","subject_2","trial_7","bʰ","t",0.01668520578,0.1062291435,0.1683644595,-0.85640986837544,1
"183","subject_3","trial_7","bʰ","k",0.01668520578,0.1062291435,0.1683644595,-0.85640986837544,1
"184","subject_4","trial_7","bʰ","v",0.01668520578,0.1062291435,0.1683644595,-0.324695590643819,1
"185","subject_5","trial_7","d̪ʰ","b",0.2001093494,0.1550027337,0.2191323693,-0.53924567926845,1
"186","subject_6","trial_7","d̪ʰ","d",0.2001093494,0.1550027337,0.2191323693,0.30164056720466,0
"187","subject_7","trial_7","d̪ʰ","g",0.2001093494,0.1550027337,0.2191323693,-0.53513664966592,0
"188","subject_8","trial_7","d̪ʰ","p",0.2001093494,0.1550027337,0.2191323693,-0.91295934236769,0
"189","subject_9","trial_7","d̪ʰ","t",0.2001093494,0.1550027337,0.2191323693,-0.11503790598643,1
"190","subject_10","trial_7","d̪ʰ","k",0.2001093494,0.1550027337,0.2191323693,-0.72666523095823,1
"191","subject_11","trial_7","d̪ʰ","ð",0.2001093494,0.1550027337,0.2191323693,-0.27898720356059,1
"192","subject_12","trial_7","ɖ","b",0.3817204301,0.1693548387,0.03225806452,-0.47826465691113,0
"193","subject_13","trial_7","ɖ","d",0.3817204301,0.1693548387,0.03225806452,0.17303232959971,1
"194","subject_14","trial_7","ɖ","g",0.3817204301,0.1693548387,0.03225806452,-0.6205589829249,1
"195","subject_15","trial_7","ɖ","p",0.3817204301,0.1693548387,0.03225806452,-0.85600230262639,1
"196","subject_16","trial_7","ɖ","t",0.3817204301,0.1693548387,0.03225806452,-0.27667604381396,1
"197","subject_17","trial_7","ɖ","k",0.3817204301,0.1693548387,0.03225806452,-0.91615826003434,0
"198","subject_18","trial_7","ɖ","ð",0.3817204301,0.1693548387,0.03225806452,-0.58853296579063,1
"199","subject_19","trial_7","ɖʰ","b",0.04786680541,0.08532778356,0.2474881015,-0.68808191514267,1
"200","subject_20","trial_7","ɖʰ","d",0.04786680541,0.08532778356,0.2474881015,0.20167511999017,1
"201","subject_21","trial_7","ɖʰ","g",0.04786680541,0.08532778356,0.2474881015,-0.54541839393655,1
"202","subject_22","trial_7","ɖʰ","p",0.04786680541,0.08532778356,0.2474881015,-0.834715444404,1
"203","subject_23","trial_7","ɖʰ","t",0.04786680541,0.08532778356,0.2474881015,-0.3368152204949,1
"204","subject_24","trial_7","ɖʰ","k",0.04786680541,0.08532778356,0.2474881015,-0.770926331976,0
"205","subject_25","trial_7","ɖʰ","ð",0.04786680541,0.08532778356,0.2474881015,-0.11512523452443,1
"206","subject_26","trial_7","dʒʰ","d",0.01668520578,0.1062291435,0.1239388795,-0.433702190605939,1
"207","subject_27","trial_7","dʒʰ","z",0.01668520578,0.1062291435,0.1239388795,-0.67116255861138,1
"208","subject_28","trial_7","dʒʰ","t",0.01668520578,0.1062291435,0.1239388795,-0.76136525128921,0
"209","subject_29","trial_7","dʒʰ","s",0.01668520578,0.1062291435,0.1239388795,-0.7233715363913,1
"210","subject_30","trial_7","dʒʰ","d͡ʒ",0.01668520578,0.1062291435,0.1239388795,0.24729505138738,1
"211","subject_1","trial_8","dʒʰ","t͡ʃ",0.01668520578,0.1062291435,0.1239388795,-0.37762794062756,1
"212","subject_2","trial_8","ɡʰ","b",0.01668520578,0.1062291435,0.1516694963,-0.44747281090639,0
"213","subject_3","trial_8","ɡʰ","d",0.01668520578,0.1062291435,0.1516694963,-0.45203414309149,0
"214","subject_4","trial_8","ɡʰ","g",0.01668520578,0.1062291435,0.1516694963,0.20167511999017,1
"215","subject_5","trial_8","ɡʰ","p",0.01668520578,0.1062291435,0.1516694963,-0.78039481232873,1
"216","subject_6","trial_8","ɡʰ","t",0.01668520578,0.1062291435,0.1516694963,-0.96652040763977,0
"217","subject_7","trial_8","ɡʰ","k",0.01668520578,0.1062291435,0.1516694963,-0.0721818889485899,1
"218","subject_8","trial_8","ɳ","n",0.3817204301,0.125,-0.07661290323,0.54887734059071,0
"219","subject_9","trial_8","ɳ","j",0.3817204301,0.125,-0.07661290323,0.24445951631444,1
"220","subject_10","trial_8","ɽ","b",0.0770609319,0.1326164875,0.1553166069,-1.61453638146467,0
"221","subject_11","trial_8","ɽ","d",0.0770609319,0.1326164875,0.1553166069,0.12733145914267,1
"222","subject_12","trial_8","ɽ","g",0.0770609319,0.1326164875,0.1553166069,-0.53831970161309,1
"223","subject_13","trial_8","ɽ","p",0.0770609319,0.1326164875,0.1553166069,-1.11250819479602,1
"224","subject_14","trial_8","ɽ","t",0.0770609319,0.1326164875,0.1553166069,-0.0971209008228699,1
"225","subject_15","trial_8","ɽ","k",0.0770609319,0.1326164875,0.1553166069,-1.78989514613954,1
"226","subject_16","trial_8","ɽ","ð",0.0770609319,0.1326164875,0.1553166069,-0.44747281090639,0
"227","subject_17","trial_8","ɽ","ɾ",0.0770609319,0.1326164875,0.1553166069,0.24729505138738,0
"228","subject_18","trial_8","ʈ","t",0.3817204301,0.1827956989,-0.08870967742,0.139983112483201,1
"229","subject_19","trial_8","ʈ","d",0.3817204301,0.1827956989,-0.08870967742,-0.26240255792794,1
"230","subject_20","trial_8","ɣ","g",0.2367172676,0.1385199241,0.1266603416,0.07222050747409,0
"231","subject_21","trial_8","ɣ","k",0.2367172676,0.1385199241,0.1266603416,-0.53831970161309,1
"232","subject_22","trial_8","ɣ","h",0.2367172676,0.1385199241,0.1266603416,-0.3892194104869,1
"233","subject_23","trial_8","x","k",0.295436664,0.1931348222,-0.03618134263,-0.36795391487243,0
"234","subject_24","trial_8","x","h",0.295436664,0.1931348222,-0.03618134263,0.28865129200255,1
"235","subject_25","trial_8","x","s",0.295436664,0.1931348222,-0.03618134263,-0.87161196819214,1
"236","subject_26","trial_8","x","ʃ",0.295436664,0.1931348222,-0.03618134263,-0.6083012001128,1
"237","subject_27","trial_8","bʰ","b",0.01668520578,0.1062291435,0.1683644595,0.0618853178926599,0
"238","subject_28","trial_8","bʰ","d",0.01668520578,0.1062291435,0.1683644595,-0.66428426160508,0
"239","subject_29","trial_8","bʰ","g",0.01668520578,0.1062291435,0.1683644595,-0.65362190141363,1
"240","subject_30","trial_8","bʰ","p",0.01668520578,0.1062291435,0.1683644595,-0.219837265703499,0
"241","subject_1","trial_9","bʰ","t",0.01668520578,0.1062291435,0.1683644595,-0.85640986837544,0
"242","subject_2","trial_9","bʰ","k",0.01668520578,0.1062291435,0.1683644595,-0.85640986837544,1
"243","subject_3","trial_9","bʰ","v",0.01668520578,0.1062291435,0.1683644595,-0.324695590643819,0
"244","subject_4","trial_9","d̪ʰ","b",0.2001093494,0.1550027337,0.2191323693,-0.53924567926845,0
"245","subject_5","trial_9","d̪ʰ","d",0.2001093494,0.1550027337,0.2191323693,0.30164056720466,1
"246","subject_6","trial_9","d̪ʰ","g",0.2001093494,0.1550027337,0.2191323693,-0.53513664966592,0
"247","subject_7","trial_9","d̪ʰ","p",0.2001093494,0.1550027337,0.2191323693,-0.91295934236769,1
"248","subject_8","trial_9","d̪ʰ","t",0.2001093494,0.1550027337,0.2191323693,-0.11503790598643,1
"249","subject_9","trial_9","d̪ʰ","k",0.2001093494,0.1550027337,0.2191323693,-0.72666523095823,1
"250","subject_10","trial_9","d̪ʰ","ð",0.2001093494,0.1550027337,0.2191323693,-0.27898720356059,0
"251","subject_11","trial_9","ɖ","b",0.3817204301,0.1693548387,0.03225806452,-0.47826465691113,0
"252","subject_12","trial_9","ɖ","d",0.3817204301,0.1693548387,0.03225806452,0.17303232959971,0
"253","subject_13","trial_9","ɖ","g",0.3817204301,0.1693548387,0.03225806452,-0.6205589829249,1
"254","subject_14","trial_9","ɖ","p",0.3817204301,0.1693548387,0.03225806452,-0.85600230262639,0
"255","subject_15","trial_9","ɖ","t",0.3817204301,0.1693548387,0.03225806452,-0.27667604381396,1
"256","subject_16","trial_9","ɖ","k",0.3817204301,0.1693548387,0.03225806452,-0.91615826003434,0
"257","subject_17","trial_9","ɖ","ð",0.3817204301,0.1693548387,0.03225806452,-0.58853296579063,1
"258","subject_18","trial_9","ɖʰ","b",0.04786680541,0.08532778356,0.2474881015,-0.68808191514267,0
"259","subject_19","trial_9","ɖʰ","d",0.04786680541,0.08532778356,0.2474881015,0.20167511999017,0
"260","subject_20","trial_9","ɖʰ","g",0.04786680541,0.08532778356,0.2474881015,-0.54541839393655,0
"261","subject_21","trial_9","ɖʰ","p",0.04786680541,0.08532778356,0.2474881015,-0.834715444404,1
"262","subject_22","trial_9","ɖʰ","t",0.04786680541,0.08532778356,0.2474881015,-0.3368152204949,1
